REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
REGION1,FINU00I00,FINU,1,2021,1.0
REGION1,FIWS00I00,FIWS,1,2021,1.0
REGION1,FILI00I00,FILI,1,2021,1.0
REGION1,FIDG00I00,FIDG,1,2021,1.0
REGION1,FIRG00I00,FIRG,1,2021,1.0
REGION1,FIDS00I00,FIDS,1,2021,1.0
REGION1,FRNU00I00,FRNU,1,2021,1.0
REGION1,FRCO00I00,FRCO,1,2021,1.0
REGION1,FRBF00I00,FRBF,1,2021,1.0
REGION1,FRDG00I00,FRDG,1,2021,1.0
REGION1,FRRG00I00,FRRG,1,2021,1.0
REGION1,FRDS00I00,FRDS,1,2021,1.0
REGION1,FRHF00I00,FRHF,1,2021,1.0
REGION1,FRBM00I00,FRBM,1,2021,1.0
REGION1,FRWS00I00,FRWS,1,2021,1.0
REGION1,FRGO00I00,FRGO,1,2021,1.0
REGION1,FRTI00I00,FRTI,1,2021,1.0
REGION1,FROC00I00,FROC,1,2021,1.0
REGION1,HRBF00I00,HRBF,1,2021,1.0
REGION1,HRBM00I00,HRBM,1,2021,1.0
REGION1,HRCO00I00,HRCO,1,2021,1.0
REGION1,HRHF00I00,HRHF,1,2021,1.0
REGION1,HRLI00I00,HRLI,1,2021,1.0
REGION1,HRRG00I00,HRRG,1,2021,1.0
REGION1,HRDS00I00,HRDS,1,2021,1.0
REGION1,HRGO00I00,HRGO,1,2021,1.0
REGION1,HUNU00I00,HUNU,1,2021,1.0
REGION1,HUCO00I00,HUCO,1,2021,1.0
REGION1,HULI00I00,HULI,1,2021,1.0
REGION1,HUBF00I00,HUBF,1,2021,1.0
REGION1,HUDG00I00,HUDG,1,2021,1.0
REGION1,HURG00I00,HURG,1,2021,1.0
REGION1,HUDS00I00,HUDS,1,2021,1.0
REGION1,HUHF00I00,HUHF,1,2021,1.0
REGION1,HUBM00I00,HUBM,1,2021,1.0
REGION1,HUWS00I00,HUWS,1,2021,1.0
REGION1,HUGO00I00,HUGO,1,2021,1.0
REGION1,IEBF00I00,IEBF,1,2021,1.0
REGION1,IEBM00I00,IEBM,1,2021,1.0
REGION1,IEWS00I00,IEWS,1,2021,1.0
REGION1,IECO00I00,IECO,1,2021,1.0
REGION1,IELI00I00,IELI,1,2021,1.0
REGION1,IERG00I00,IERG,1,2021,1.0
REGION1,IEDS00I00,IEDS,1,2021,1.0
REGION1,IEHF00I00,IEHF,1,2021,1.0
REGION1,ITBF00I00,ITBF,1,2021,1.0
REGION1,ITBM00I00,ITBM,1,2021,1.0
REGION1,ITCO00I00,ITCO,1,2021,1.0
REGION1,ITGO00I00,ITGO,1,2021,1.0
REGION1,ITHF00I00,ITHF,1,2021,1.0
REGION1,ITWS00I00,ITWS,1,2021,1.0
REGION1,ITDG00I00,ITDG,1,2021,1.0
REGION1,ITRG00I00,ITRG,1,2021,1.0
REGION1,ITDS00I00,ITDS,1,2021,1.0
REGION1,LTBM00I00,LTBM,1,2021,1.0
REGION1,LTHF00I00,LTHF,1,2021,1.0
REGION1,LTWS00I00,LTWS,1,2021,1.0
REGION1,LTBF00I00,LTBF,1,2021,1.0
REGION1,LTRG00I00,LTRG,1,2021,1.0
REGION1,LTDS00I00,LTDS,1,2021,1.0
REGION1,LUWS00I00,LUWS,1,2021,1.0
REGION1,LUBF00I00,LUBF,1,2021,1.0
REGION1,LUDS00I00,LUDS,1,2021,1.0
REGION1,LUBM00I00,LUBM,1,2021,1.0
REGION1,LVCO00I00,LVCO,1,2021,1.0
REGION1,LVHF00I00,LVHF,1,2021,1.0
REGION1,LVLI00I00,LVLI,1,2021,1.0
REGION1,LVBF00I00,LVBF,1,2021,1.0
REGION1,LVDS00I00,LVDS,1,2021,1.0
REGION1,LVBM00I00,LVBM,1,2021,1.0
REGION1,MTBF00I00,MTBF,1,2021,1.0
REGION1,MTDS00I00,MTDS,1,2021,1.0
REGION1,NLBF00I00,NLBF,1,2021,1.0
REGION1,NLBM00I00,NLBM,1,2021,1.0
REGION1,NLCO00I00,NLCO,1,2021,1.0
REGION1,NLNU00I00,NLNU,1,2021,1.0
REGION1,NLWS00I00,NLWS,1,2021,1.0
REGION1,NLDG00I00,NLDG,1,2021,1.0
REGION1,NLRG00I00,NLRG,1,2021,1.0
REGION1,NLDS00I00,NLDS,1,2021,1.0
REGION1,NLHF00I00,NLHF,1,2021,1.0
REGION1,PLCO00I00,PLCO,1,2021,1.0
REGION1,PLLI00I00,PLLI,1,2021,1.0
REGION1,PLBF00I00,PLBF,1,2021,1.0
REGION1,PLDG00I00,PLDG,1,2021,1.0
REGION1,PLRG00I00,PLRG,1,2021,1.0
REGION1,PLDS00I00,PLDS,1,2021,1.0
REGION1,PLHF00I00,PLHF,1,2021,1.0
REGION1,PLBM00I00,PLBM,1,2021,1.0
REGION1,PTBF00I00,PTBF,1,2021,1.0
REGION1,PTBM00I00,PTBM,1,2021,1.0
REGION1,PTGO00I00,PTGO,1,2021,1.0
REGION1,PTHF00I00,PTHF,1,2021,1.0
REGION1,PTOC00I00,PTOC,1,2021,1.0
REGION1,PTWS00I00,PTWS,1,2021,1.0
REGION1,PTCO00I00,PTCO,1,2021,1.0
REGION1,PTRG00I00,PTRG,1,2021,1.0
REGION1,PTDS00I00,PTDS,1,2021,1.0
REGION1,ROBM00I00,ROBM,1,2021,1.0
REGION1,ROCO00I00,ROCO,1,2021,1.0
REGION1,ROHF00I00,ROHF,1,2021,1.0
REGION1,RONU00I00,RONU,1,2021,1.0
REGION1,ROLI00I00,ROLI,1,2021,1.0
REGION1,RODG00I00,RODG,1,2021,1.0
REGION1,RORG00I00,RORG,1,2021,1.0
REGION1,RODS00I00,RODS,1,2021,1.0
REGION1,ROGO00I00,ROGO,1,2021,1.0
REGION1,SEBM00I00,SEBM,1,2021,1.0
REGION1,SECO00I00,SECO,1,2021,1.0
REGION1,SEHF00I00,SEHF,1,2021,1.0
REGION1,SENU00I00,SENU,1,2021,1.0
REGION1,SEWS00I00,SEWS,1,2021,1.0
REGION1,SELI00I00,SELI,1,2021,1.0
REGION1,SEBF00I00,SEBF,1,2021,1.0
REGION1,SEDG00I00,SEDG,1,2021,1.0
REGION1,SEDS00I00,SEDS,1,2021,1.0
REGION1,SIHF00I00,SIHF,1,2021,1.0
REGION1,SINU00I00,SINU,1,2021,1.0
REGION1,SILI00I00,SILI,1,2021,1.0
REGION1,SIBF00I00,SIBF,1,2021,1.0
REGION1,SIDS00I00,SIDS,1,2021,1.0
REGION1,SIBM00I00,SIBM,1,2021,1.0
REGION1,SIWS00I00,SIWS,1,2021,1.0
REGION1,SKBF00I00,SKBF,1,2021,1.0
REGION1,SKBM00I00,SKBM,1,2021,1.0
REGION1,SKCO00I00,SKCO,1,2021,1.0
REGION1,SKHF00I00,SKHF,1,2021,1.0
REGION1,SKNU00I00,SKNU,1,2021,1.0
REGION1,SKWS00I00,SKWS,1,2021,1.0
REGION1,SKLI00I00,SKLI,1,2021,1.0
REGION1,SKDG00I00,SKDG,1,2021,1.0
REGION1,SKRG00I00,SKRG,1,2021,1.0
REGION1,SKDS00I00,SKDS,1,2021,1.0
REGION1,NOBF00I00,NOBF,1,2021,1.0
REGION1,NOHF00I00,NOHF,1,2021,1.0
REGION1,NOWS00I00,NOWS,1,2021,1.0
REGION1,NOBM00I00,NOBM,1,2021,1.0
REGION1,NOOC00I00,NOOC,1,2021,1.0
REGION1,CHBF00I00,CHBF,1,2021,1.0
REGION1,CHHF00I00,CHHF,1,2021,1.0
REGION1,CHNU00I00,CHNU,1,2021,1.0
REGION1,CHWS00I00,CHWS,1,2021,1.0
REGION1,UKBF00I00,UKBF,1,2021,1.0
REGION1,UKBM00I00,UKBM,1,2021,1.0
REGION1,UKCO00I00,UKCO,1,2021,1.0
REGION1,UKHF00I00,UKHF,1,2021,1.0
REGION1,UKNU00I00,UKNU,1,2021,1.0
REGION1,UKOC00I00,UKOC,1,2021,1.0
REGION1,UKWS00I00,UKWS,1,2021,1.0
REGION1,ATEL00T00,ATE2,1,2021,0.9845
REGION1,BEEL00T00,BEE2,1,2021,0.9839
REGION1,BGEL00T00,BGE2,1,2021,0.9798
REGION1,CHEL00T00,CHE2,1,2021,0.987
