REGION,FUEL,YEAR,VALUE
REGION1,EEE3,2023,26.873
REGION1,FIE3,2023,289.242
REGION1,FRE3,2023,1560.475
REGION1,DEE3,2023,1797.707
REGION1,GRE3,2023,181.101
REGION1,HUE3,2023,151.777
REGION1,IEE3,2023,115.777
REGION1,ITE3,2023,1079.906
REGION1,LVE3,2023,24.317
REGION1,LTE3,2023,40.123
REGION1,LUE3,2023,23.116
REGION1,MTE3,2023,10.136
REGION1,NLE3,2023,390.535
REGION1,NOE3,2023,481.651
REGION1,PLE3,2023,519.324
REGION1,PTE3,2023,183.117
REGION1,ROE3,2023,156.858
REGION1,SKE3,2023,83.953
REGION1,SIE3,2023,47.871
REGION1,ESE3,2023,844.267
REGION1,SEE3,2023,461.967
REGION1,CHE3,2023,247.298
REGION1,UKE3,2023,1269.675
REGION1,DZE3,2023,264.373
REGION1,AOE3,2023,55.797
REGION1,BJE3,2023,5.001
REGION1,BWE3,2023,14.418
REGION1,BFE3,2023,9.101
REGION1,BIE3,2023,1.116
REGION1,CME3,2023,25.813
REGION1,CFE3,2023,0.338
REGION1,TDE3,2023,0.884
REGION1,CDE3,2023,48.911
REGION1,CIE3,2023,32.464
REGION1,DJE3,2023,2.204
REGION1,EGE3,2023,708.745
REGION1,GQE3,2023,5.198
REGION1,ERE3,2023,1.107
REGION1,ETE3,2023,46.939
REGION1,GAE3,2023,8.113
REGION1,GME3,2023,1.295
REGION1,GHE3,2023,59.167
REGION1,GNE3,2023,9.308
REGION1,GWE3,2023,0.591
REGION1,KEE3,2023,39.395
REGION1,LSE3,2023,3.125
REGION1,LRE3,2023,1.079
REGION1,LYE3,2023,105.892
REGION1,MWE3,2023,6.27
REGION1,MLE3,2023,10.912
REGION1,MRE3,2023,5.686
REGION1,MAE3,2023,155.052
REGION1,MZE3,2023,39.818
REGION1,NAE3,2023,11.82
REGION1,NEE3,2023,4.71
REGION1,NGE3,2023,124.999
REGION1,CGE3,2023,6.467
REGION1,RWE3,2023,3.123
REGION1,SNE3,2023,22.931
REGION1,SLE3,2023,1.154
REGION1,SOE3,2023,1.679
REGION1,ZAE3,2023,685.291
REGION1,SSE3,2023,1.735
REGION1,SDE3,2023,44.771
REGION1,SZE3,2023,4.972
REGION1,TZE3,2023,24.284
REGION1,TGE3,2023,5.836
REGION1,TNE3,2023,82.876
REGION1,UGE3,2023,13.317
REGION1,ZME3,2023,50.325
REGION1,ZWE3,2023,33.675
REGION1,ATE3,2024,250.725
REGION1,BEE3,2024,300.548
REGION1,BGE3,2024,114.944
REGION1,HRE3,2024,60.784
REGION1,CYE3,2024,18.18
REGION1,CZE3,2024,219.387
REGION1,DKE3,2024,120.146
REGION1,EEE3,2024,28.037
REGION1,FIE3,2024,301.764
REGION1,FRE3,2024,1628.029
REGION1,DEE3,2024,1875.53
REGION1,GRE3,2024,188.941
REGION1,HUE3,2024,154.707
REGION1,IEE3,2024,120.789
REGION1,ITE3,2024,1126.655
REGION1,LVE3,2024,25.369
REGION1,LTE3,2024,41.86
REGION1,LUE3,2024,24.116
REGION1,MTE3,2024,10.575
REGION1,NLE3,2024,407.442
REGION1,NOE3,2024,502.502
REGION1,PLE3,2024,529.351
REGION1,PTE3,2024,191.044
REGION1,ROE3,2024,159.887
REGION1,SKE3,2024,85.574
REGION1,SIE3,2024,48.796
REGION1,ESE3,2024,880.816
REGION1,SEE3,2024,481.966
REGION1,CHE3,2024,258.003
REGION1,UKE3,2024,1324.64
REGION1,DZE3,2024,285.726
REGION1,AOE3,2024,61.844
REGION1,BJE3,2024,4.672
REGION1,BWE3,2024,14.625
REGION1,BFE3,2024,8.502
REGION1,BIE3,2024,1.042
REGION1,CME3,2024,24.167
REGION1,CFE3,2024,0.317
REGION1,TDE3,2024,0.827
REGION1,CDE3,2024,51.231
REGION1,CIE3,2024,30.328
REGION1,DJE3,2024,2.058
REGION1,EGE3,2024,797.011
REGION1,GQE3,2024,4.867
REGION1,ERE3,2024,1.033
REGION1,ETE3,2024,53.527
REGION1,GAE3,2024,7.595
REGION1,GME3,2024,1.21
REGION1,GHE3,2024,55.273
REGION1,GNE3,2024,8.695
REGION1,GWE3,2024,0.552
REGION1,KEE3,2024,42.76
REGION1,LSE3,2024,3.17
REGION1,LRE3,2024,1.008
REGION1,LYE3,2024,111.513
REGION1,MWE3,2024,6.361
REGION1,MLE3,2024,10.194
REGION1,MRE3,2024,5.312
REGION1,MAE3,2024,180.435
REGION1,MZE3,2024,34.497
REGION1,NAE3,2024,11.991
REGION1,NEE3,2024,4.4
REGION1,NGE3,2024,133.917
REGION1,CGE3,2024,6.055
REGION1,RWE3,2024,2.916
REGION1,SNE3,2024,21.422
REGION1,SLE3,2024,1.078
REGION1,SOE3,2024,1.567
REGION1,ZAE3,2024,700.052
REGION1,SSE3,2024,1.62
REGION1,SDE3,2024,41.802
REGION1,SZE3,2024,5.043
REGION1,TZE3,2024,21.039
REGION1,TGE3,2024,5.452
REGION1,TNE3,2024,99.232
REGION1,UGE3,2024,12.434
REGION1,ZME3,2024,51.05
REGION1,ZWE3,2024,34.16
REGION1,ATE3,2025,261.129
REGION1,BEE3,2025,313.019
REGION1,BGE3,2025,117.121
REGION1,HRE3,2025,61.935
REGION1,CYE3,2025,18.524
REGION1,CZE3,2025,223.543
REGION1,DKE3,2025,125.131
REGION1,EEE3,2025,29.2
