REGION,EMISSION,YEAR,VALUE
REGION1,ZACO2,2025,9999.0
REGION1,ZMCO2,2025,9999.0
REGION1,ZWCO2,2025,9999.0
REGION1,AOCO2,2026,9999.0
REGION1,ATCO2,2026,9999.0
REGION1,BECO2,2026,9999.0
REGION1,BFCO2,2026,9999.0
REGION1,BGCO2,2026,9999.0
REGION1,BICO2,2026,9999.0
REGION1,BJCO2,2026,9999.0
REGION1,BWCO2,2026,9999.0
REGION1,CDCO2,2026,9999.0
REGION1,CFCO2,2026,9999.0
REGION1,CGCO2,2026,9999.0
REGION1,CHCO2,2026,9999.0
REGION1,CICO2,2026,9999.0
REGION1,CMCO2,2026,9999.0
REGION1,CYCO2,2026,9999.0
REGION1,CZCO2,2026,9999.0
REGION1,DECO2,2026,9999.0
REGION1,DJCO2,2026,9999.0
REGION1,DKCO2,2026,9999.0
REGION1,DZCO2,2026,9999.0
REGION1,EECO2,2026,9999.0
REGION1,EGCO2,2026,9999.0
REGION1,ERCO2,2026,9999.0
REGION1,ESCO2,2026,9999.0
REGION1,ETCO2,2026,9999.0
REGION1,FICO2,2026,9999.0
REGION1,FRCO2,2026,9999.0
REGION1,GACO2,2026,9999.0
REGION1,GHCO2,2026,9999.0
REGION1,GMCO2,2026,9999.0
REGION1,GNCO2,2026,9999.0
REGION1,GQCO2,2026,9999.0
REGION1,GRCO2,2026,9999.0
REGION1,GWCO2,2026,9999.0
REGION1,HRCO2,2026,9999.0
REGION1,HUCO2,2026,9999.0
REGION1,IECO2,2026,9999.0
REGION1,ITCO2,2026,9999.0
REGION1,KECO2,2026,9999.0
REGION1,LRCO2,2026,9999.0
REGION1,LSCO2,2026,9999.0
REGION1,LTCO2,2026,9999.0
REGION1,LUCO2,2026,9999.0
REGION1,LVCO2,2026,9999.0
REGION1,LYCO2,2026,9999.0
REGION1,MACO2,2026,9999.0
REGION1,MLCO2,2026,9999.0
REGION1,MRCO2,2026,9999.0
REGION1,MTCO2,2026,9999.0
REGION1,MWCO2,2026,9999.0
REGION1,MZCO2,2026,9999.0
REGION1,NACO2,2026,9999.0
REGION1,NECO2,2026,9999.0
REGION1,NGCO2,2026,9999.0
REGION1,NLCO2,2026,9999.0
REGION1,NOCO2,2026,9999.0
REGION1,PLCO2,2026,9999.0
REGION1,PTCO2,2026,9999.0
REGION1,ROCO2,2026,9999.0
REGION1,RWCO2,2026,9999.0
REGION1,SDCO2,2026,9999.0
REGION1,SECO2,2026,9999.0
REGION1,SICO2,2026,9999.0
REGION1,SKCO2,2026,9999.0
REGION1,SLCO2,2026,9999.0
REGION1,SNCO2,2026,9999.0
REGION1,SOCO2,2026,9999.0
REGION1,SSCO2,2026,9999.0
REGION1,SZCO2,2026,9999.0
REGION1,TDCO2,2026,9999.0
REGION1,TGCO2,2026,9999.0
REGION1,TNCO2,2026,9999.0
REGION1,TZCO2,2026,9999.0
REGION1,UGCO2,2026,9999.0
REGION1,UKCO2,2026,9999.0
REGION1,ZACO2,2026,9999.0
REGION1,ZMCO2,2026,9999.0
REGION1,ZWCO2,2026,9999.0
REGION1,AOCO2,2027,9999.0
REGION1,ATCO2,2027,9999.0
REGION1,BECO2,2027,9999.0
REGION1,BFCO2,2027,9999.0
REGION1,BGCO2,2027,9999.0
REGION1,BICO2,2027,9999.0
REGION1,BJCO2,2027,9999.0
REGION1,BWCO2,2027,9999.0
REGION1,CDCO2,2027,9999.0
REGION1,CFCO2,2027,9999.0
REGION1,CGCO2,2027,9999.0
REGION1,CHCO2,2027,9999.0
REGION1,CICO2,2027,9999.0
REGION1,CMCO2,2027,9999.0
REGION1,CYCO2,2027,9999.0
REGION1,CZCO2,2027,9999.0
REGION1,DECO2,2027,9999.0
REGION1,DJCO2,2027,9999.0
REGION1,DKCO2,2027,9999.0
REGION1,DZCO2,2027,9999.0
REGION1,EECO2,2027,9999.0
REGION1,EGCO2,2027,9999.0
REGION1,ERCO2,2027,9999.0
REGION1,ESCO2,2027,9999.0
REGION1,ETCO2,2027,9999.0
REGION1,FICO2,2027,9999.0
REGION1,FRCO2,2027,9999.0
REGION1,GACO2,2027,9999.0
REGION1,GHCO2,2027,9999.0
REGION1,GMCO2,2027,9999.0
REGION1,GNCO2,2027,9999.0
REGION1,GQCO2,2027,9999.0
REGION1,GRCO2,2027,9999.0
REGION1,GWCO2,2027,9999.0
REGION1,HRCO2,2027,9999.0
REGION1,HUCO2,2027,9999.0
REGION1,IECO2,2027,9999.0
REGION1,ITCO2,2027,9999.0
REGION1,KECO2,2027,9999.0
REGION1,LRCO2,2027,9999.0
REGION1,LSCO2,2027,9999.0
REGION1,LTCO2,2027,9999.0
REGION1,LUCO2,2027,9999.0
REGION1,LVCO2,2027,9999.0
REGION1,LYCO2,2027,9999.0
REGION1,MACO2,2027,9999.0
REGION1,MLCO2,2027,9999.0
REGION1,MRCO2,2027,9999.0
REGION1,MTCO2,2027,9999.0
REGION1,MWCO2,2027,9999.0
REGION1,MZCO2,2027,9999.0
REGION1,NACO2,2027,9999.0
REGION1,NECO2,2027,9999.0
REGION1,NGCO2,2027,9999.0
REGION1,NLCO2,2027,9999.0
