VALUE
ATCO2
BECO2
BGCO2
CYCO2
CZCO2
DECO2
DKCO2
EECO2
GRCO2
ESCO2
FICO2
FRCO2
HRCO2
HUCO2
IECO2
ITCO2
LTCO2
LUCO2
LVCO2
MTCO2
NLCO2
PLCO2
PTCO2
ROCO2
SECO2
SICO2
SKCO2
NOCO2
CHCO2
UKCO2
EGCO2
LYCO2
BFCO2
CDCO2
ETCO2
MZCO2
NECO2
NGCO2
RWCO2
SNCO2
ZWCO2
DZCO2
MACO2
SDCO2
TNCO2
AOCO2
BJCO2
BWCO2
BICO2
CMCO2
CFCO2
TDCO2
CGCO2
CICO2
DJCO2
GQCO2
ERCO2
SZCO2
GACO2
GMCO2
GHCO2
GNCO2
GWCO2
KECO2
LRCO2
MWCO2
MLCO2
MRCO2
NACO2
SLCO2
ZACO2
SSCO2
TGCO2
UGCO2
TZCO2
ZMCO2
LSCO2
SOCO2
ATGHG
BEGHG
BGGHG
CHGHG
CYGHG
CZGHG
DEGHG
DKGHG
EEGHG
GRGHG
ESGHG
FIGHG
FRGHG
HRGHG
HUGHG
IEGHG
ITGHG
LTGHG
LUGHG
LVGHG
MTGHG
NLGHG
NOGHG
PLGHG
PTGHG
ROGHG
SEGHG
SIGHG
SKGHG
UKGHG
DZGHG
AOGHG
BJGHG
BWGHG
BFGHG
BIGHG
CMGHG
CFGHG
TDGHG
CIGHG
DJGHG
CDGHG
EGGHG
GQGHG
ERGHG
SZGHG
ETGHG
GAGHG
GMGHG
GHGHG
GNGHG
GWGHG
KEGHG
LSGHG
LRGHG
LYGHG
MWGHG
MLGHG
MRGHG
MAGHG
MZGHG
NAGHG
NEGHG
NGGHG
CGGHG
RWGHG
SNGHG
SLGHG
SOGHG
ZAGHG
SSGHG
SDGHG
TZGHG
TGGHG
TNGHG
UGGHG
ZMGHG
ZWGHG
ALCO2
BYCO2
MDCO2
RSCO2
RUCO2
TRCO2
UACO2
