VALUE
ATE1
BEE1
BGE1
CHE1
CYE1
CZE1
DEE1
DKE1
EEE1
GRE1
ESE1
FIE1
FRE1
HRE1
HUE1
IEE1
ITE1
LTE1
LUE1
LVE1
MTE1
NLE1
NOE1
PLE1
PTE1
ROE1
SEE1
SIE1
SKE1
UKE1
ATE2
BEE2
BGE2
CHE2
CYE2
CZE2
DEE2
DKE2
EEE2
GRE2
ESE2
FIE2
FRE2
HRE2
HUE2
IEE2
ITE2
LTE2
LUE2
LVE2
MTE2
NLE2
NOE2
PLE2
PTE2
ROE2
SEE2
SIE2
SKE2
UKE2
ATCO
ATNG
ATBF
ATDG
ATRG
ATDS
ATHF
ATBM
ATWS
ATGO
BENU
BECO
BENG
BEBF
BEDG
BERG
BEDS
BEHF
BEWS
BEBM
BGBF
BGCO
BGHF
BGNG
BGNU
BGLI
BGRG
BGDS
BGBM
BGWS
CYBF
CYHF
CYDS
CZNU
CZCO
CZLI
CZNG
CZBF
CZDG
CZRG
CZDS
CZHF
CZBM
CZWS
DENU
DECO
DELI
DENG
DEBF
DEDG
DERG
DEDS
DEHF
DEBM
DEWS
DEGO
DKBF
DKBM
DKCO
DKHF
DKNG
DKWS
DKRG
DKDS
EEHF
EENG
EEWS
EELI
EEBF
EEDG
EEBM
GRBF
GRBM
GRHF
GRNG
GRLI
GRRG
GRDS
ESCO
ESNU
ESLI
ESNG
ESBF
ESDG
ESRG
ESDS
ESHF
ESBM
ESWS
FIBF
FIBM
FICO
FIHF
FING
FINU
FIWS
FILI
FIDG
FIRG
FIDS
FRNU
FRCO
FRNG
FRBF
FRDG
FRRG
FRDS
FRHF
FRBM
FRWS
FRGO
FRTI
FROC
HRBF
HRBM
HRCO
HRHF
HRNG
HRLI
HRRG
HRDS
HRGO
HUNU
HUCO
HULI
HUNG
HUBF
HUDG
HURG
HUDS
HUHF
HUBM
HUWS
HUGO
IEBF
IEBM
IENG
IEWS
IECO
IELI
IERG
IEDS
IEHF
ITBF
ITBM
ITCO
ITGO
ITHF
ITNG
ITWS
ITDG
ITRG
ITDS
LTBM
LTHF
LTNG
LTWS
LTBF
LTRG
LTDS
LUNG
LUWS
LUBF
LUDS
LUBM
LVCO
LVHF
LVNG
LVLI
LVBF
LVDS
LVBM
MTNG
MTBF
MTDS
NLBF
NLBM
NLCO
NLNG
NLNU
NLWS
NLDG
NLRG
NLDS
NLHF
PLCO
PLLI
PLNG
PLBF
PLDG
PLRG
PLDS
PLHF
PLBM
PTBF
PTBM
PTGO
PTHF
PTNG
PTOC
PTWS
PTCO
PTRG
PTDS
ROBM
ROCO
ROHF
RONG
RONU
ROLI
RODG
RORG
RODS
ROGO
SEBM
SECO
SEHF
SENG
SENU
SEWS
SELI
SEBF
SEDG
SEDS
SIHF
SING
SINU
SILI
SIBF
SIDS
SIBM
SIWS
SKBF
SKBM
SKCO
SKHF
SKNG
SKNU
SKWS
SKLI
SKDG
SKRG
SKDS
NOBF
NOHF
NOWS
NOBM
NOOC
CHBF
CHHF
CHNG
CHNU
CHWS
UKBF
UKBM
UKCO
UKHF
UKNG
UKNU
UKOC
UKWS
CYNG
NONG
DZE1
AOE1
BJE1
BWE1
BFE1
BIE1
CME1
CFE1
TDE1
CIE1
DJE1
CDE1
EGE1
GQE1
ERE1
SZE1
ETE1
GAE1
GME1
GHE1
GNE1
GWE1
KEE1
LSE1
LRE1
LYE1
MWE1
MLE1
MRE1
MAE1
MZE1
NAE1
NEE1
NGE1
CGE1
RWE1
SNE1
SLE1
SOE1
ZAE1
SSE1
SDE1
TZE1
TGE1
TNE1
UGE1
ZME1
ZWE1
DZE2
AOE2
BJE2
BWE2
BFE2
BIE2
CME2
CFE2
TDE2
CIE2
DJE2
CDE2
EGE2
GQE2
ERE2
SZE2
ETE2
GAE2
GME2
GHE2
GNE2
GWE2
KEE2
LSE2
LRE2
LYE2
MWE2
MLE2
MRE2
MAE2
MZE2
NAE2
NEE2
NGE2
CGE2
RWE2
SNE2
SLE2
SOE2
ZAE2
SSE2
SDE2
TZE2
TGE2
TNE2
UGE2
ZME2
ZWE2
DZNG
EGBM
LYNG
LYLF
LYHF
TNNG
BFLF
BFHF
CING
CDLF
CDHF
ETBM
GHNG
KEGO
MZLF
MZHF
NELF
NEHF
NGNG
NGLF
NGHF
RWCO
SNNG
SNLF
SNHF
ZANU
ZWCO
DZLF
DZHF
EGNG
EGLF
EGHF
MACO
MALF
MAHF
MANG
MABM
SDLF
SDHF
SDBM
TNLF
TNHF
AONG
AOLF
AOHF
AOBM
BJNG
BJLF
BJHF
BWCO
BWLF
BFBM
BILF
CMNG
CMLF
CMHF
CFLF
TDNG
TDLF
TDHF
TDBM
CGNG
CGLF
CGHF
CGBM
CILF
CIHF
DJLF
DJHF
GWNG
GQNG
GQLF
GQHF
ERLF
ERHF
SZLF
SZHF
SZBM
ETLF
ETGO
GANG
GALF
GAHF
GMLF
GMHF
GHLF
GHHF
GHBM
GNLF
GNHF
GWLF
KELF
KEHF
KEBM
LRLF
LRHF
MWLF
MWBM
MLLF
MLHF
MLBM
MRNG
MRLF
MRHF
MZNG
MZBM
NACO
NALF
NAHF
NABM
NECO
NENG
NGBM
RWNG
RWLF
RWHF
RWBM
SNCO
SNBM
SLLF
SLHF
SLBM
ZACO
ZALF
ZAHF
ZABM
SSLF
SSHF
TGNG
TGLF
TGHF
UGLF
UGHF
UGBM
TZNG
TZLF
TZHF
TZBM
ZMCO
ZMLF
ZMHF
ZMBM
ZWLF
BFNG
BING
BWNG
CDNG
CFNG
DJNG
ERNG
ETNG
GMNG
GNNG
KENG
LRNG
LSNG
