REGION,EMISSION,YEAR,VALUE
REGION1,TGCO2,2022,0.0
REGION1,TNCO2,2022,-3.968
REGION1,UGCO2,2022,0.0
REGION1,ZMCO2,2022,0.0
REGION1,ZWCO2,2022,0.0
REGION1,ATCO2,2023,-9.803
REGION1,BECO2,2023,-21.078
REGION1,BGCO2,2023,-2.668
REGION1,HRCO2,2023,-2.647
REGION1,CYCO2,2023,0.0
REGION1,CZCO2,2023,-10.004
REGION1,DKCO2,2023,-3.084
REGION1,EECO2,2023,-0.379
REGION1,FICO2,2023,-1.394
REGION1,FRCO2,2023,-55.066
REGION1,DECO2,2023,-113.412
REGION1,GRCO2,2023,-2.799
REGION1,HUCO2,2023,-11.675
REGION1,IECO2,2023,-3.888
REGION1,ITCO2,2023,-70.333
REGION1,LVCO2,2023,-0.652
REGION1,LTCO2,2023,-2.455
REGION1,LUCO2,2023,-1.078
REGION1,MTCO2,2023,0.0
REGION1,NLCO2,2023,-33.677
REGION1,NOCO2,2023,-1.682
REGION1,PLCO2,2023,-25.264
REGION1,PTCO2,2023,-3.992
REGION1,ROCO2,2023,-11.801
REGION1,SKCO2,2023,-5.993
REGION1,SICO2,2023,-1.239
REGION1,ESCO2,2023,-31.237
REGION1,SECO2,2023,-1.143
REGION1,CHCO2,2023,-5.775
REGION1,UKCO2,2023,-81.211
REGION1,DZCO2,2023,-51.493
REGION1,AOCO2,2023,-0.601
REGION1,BJCO2,2023,0.0
REGION1,BWCO2,2023,0.0
REGION1,BFCO2,2023,0.0
REGION1,BICO2,2023,0.0
REGION1,CMCO2,2023,0.0
REGION1,CFCO2,2023,0.0
REGION1,TDCO2,2023,0.0
REGION1,CDCO2,2023,0.0
REGION1,CICO2,2023,-3.155
REGION1,DJCO2,2023,0.0
REGION1,EGCO2,2023,-36.702
REGION1,GQCO2,2023,-5.726
REGION1,ERCO2,2023,0.0
REGION1,ETCO2,2023,0.0
REGION1,GACO2,2023,-0.007
REGION1,GMCO2,2023,0.0
REGION1,GHCO2,2023,-1.842
REGION1,GNCO2,2023,0.0
REGION1,GWCO2,2023,0.0
REGION1,KECO2,2023,0.0
REGION1,LSCO2,2023,0.0
REGION1,LRCO2,2023,0.0
REGION1,LYCO2,2023,-2.213
REGION1,MWCO2,2023,0.0
REGION1,MLCO2,2023,0.0
REGION1,MRCO2,2023,0.0
REGION1,MACO2,2023,-0.108
REGION1,MZCO2,2023,-0.417
REGION1,NACO2,2023,0.0
REGION1,NECO2,2023,0.0
REGION1,NGCO2,2023,-12.029
REGION1,CGCO2,2023,0.0
REGION1,RWCO2,2023,0.0
REGION1,SNCO2,2023,0.0
REGION1,SLCO2,2023,0.0
REGION1,SOCO2,2023,0.0
REGION1,ZACO2,2023,-3.403
REGION1,SSCO2,2023,0.0
REGION1,SDCO2,2023,0.0
REGION1,SZCO2,2023,0.0
REGION1,TZCO2,2023,-1.391
REGION1,TGCO2,2023,0.0
REGION1,TNCO2,2023,-3.38
REGION1,UGCO2,2023,0.0
REGION1,ZMCO2,2023,0.0
REGION1,ZWCO2,2023,0.0
REGION1,ATCO2,2024,-9.946
REGION1,BECO2,2024,-21.377
REGION1,BGCO2,2024,-2.711
REGION1,HRCO2,2024,-2.69
REGION1,CYCO2,2024,0.0
REGION1,CZCO2,2024,-10.182
REGION1,DKCO2,2024,-3.132
REGION1,EECO2,2024,-0.385
REGION1,FICO2,2024,-1.414
REGION1,FRCO2,2024,-55.897
REGION1,DECO2,2024,-115.124
REGION1,GRCO2,2024,-2.839
REGION1,HUCO2,2024,-11.865
REGION1,IECO2,2024,-3.949
REGION1,ITCO2,2024,-71.418
REGION1,LVCO2,2024,-0.663
REGION1,LTCO2,2024,-2.476
REGION1,LUCO2,2024,-1.095
REGION1,MTCO2,2024,0.0
REGION1,NLCO2,2024,-34.146
REGION1,NOCO2,2024,-1.695
REGION1,PLCO2,2024,-25.66
REGION1,PTCO2,2024,-4.052
REGION1,ROCO2,2024,-12.011
REGION1,SKCO2,2024,-6.088
REGION1,SICO2,2024,-1.261
REGION1,ESCO2,2024,-31.71
REGION1,SECO2,2024,-1.154
REGION1,CHCO2,2024,-5.866
REGION1,UKCO2,2024,-82.473
REGION1,DZCO2,2024,-52.769
REGION1,AOCO2,2024,-0.699
REGION1,BJCO2,2024,0.0
REGION1,BWCO2,2024,0.0
REGION1,BFCO2,2024,0.0
REGION1,BICO2,2024,0.0
REGION1,CMCO2,2024,0.0
REGION1,CFCO2,2024,0.0
REGION1,TDCO2,2024,0.0
REGION1,CDCO2,2024,0.0
REGION1,CICO2,2024,-5.532
REGION1,DJCO2,2024,0.0
REGION1,EGCO2,2024,-36.346
REGION1,GQCO2,2024,-6.38
REGION1,ERCO2,2024,0.0
REGION1,ETCO2,2024,0.0
REGION1,GACO2,2024,-0.008
REGION1,GMCO2,2024,0.0
REGION1,GHCO2,2024,-3.23
REGION1,GNCO2,2024,0.0
REGION1,GWCO2,2024,0.0
REGION1,KECO2,2024,0.0
REGION1,LSCO2,2024,0.0
REGION1,LRCO2,2024,0.0
REGION1,LYCO2,2024,-2.294
REGION1,MWCO2,2024,0.0
REGION1,MLCO2,2024,0.0
REGION1,MRCO2,2024,0.0
REGION1,MACO2,2024,-0.082
REGION1,MZCO2,2024,-0.553
REGION1,NACO2,2024,0.0
REGION1,NECO2,2024,0.0
REGION1,NGCO2,2024,-14.757
REGION1,CGCO2,2024,0.0
REGION1,RWCO2,2024,0.0
REGION1,SNCO2,2024,0.0
REGION1,SLCO2,2024,0.0
REGION1,SOCO2,2024,0.0
REGION1,ZACO2,2024,-3.483
REGION1,SSCO2,2024,0.0
REGION1,SDCO2,2024,0.0
REGION1,SZCO2,2024,0.0
REGION1,TZCO2,2024,-1.842
REGION1,TGCO2,2024,0.0
REGION1,TNCO2,2024,-2.791
REGION1,UGCO2,2024,0.0
REGION1,ZMCO2,2024,0.0
REGION1,ZWCO2,2024,0.0
REGION1,ATCO2,2025,-10.088
REGION1,BECO2,2025,-21.676
REGION1,BGCO2,2025,-2.753
REGION1,HRCO2,2025,-2.733
REGION1,CYCO2,2025,0.0
REGION1,CZCO2,2025,-10.359
REGION1,DKCO2,2025,-3.18
REGION1,EECO2,2025,-0.391
REGION1,FICO2,2025,-1.435
REGION1,FRCO2,2025,-56.727
REGION1,DECO2,2025,-116.836
REGION1,GRCO2,2025,-2.879
REGION1,HUCO2,2025,-12.055
REGION1,IECO2,2025,-4.01
REGION1,ITCO2,2025,-72.504
REGION1,LVCO2,2025,-0.673
REGION1,LTCO2,2025,-2.497
REGION1,LUCO2,2025,-1.112
REGION1,MTCO2,2025,0.0
REGION1,NLCO2,2025,-34.615
REGION1,NOCO2,2025,-1.707
REGION1,PLCO2,2025,-26.056
REGION1,PTCO2,2025,-4.113
REGION1,ROCO2,2025,-12.222
REGION1,SKCO2,2025,-6.183
REGION1,SICO2,2025,-1.283
REGION1,ESCO2,2025,-32.183
REGION1,SECO2,2025,-1.166
REGION1,CHCO2,2025,-5.956
REGION1,UKCO2,2025,-83.734
REGION1,DZCO2,2025,-54.045
REGION1,AOCO2,2025,-0.797
REGION1,BJCO2,2025,0.0
REGION1,BWCO2,2025,0.0
REGION1,BFCO2,2025,0.0
REGION1,BICO2,2025,0.0
REGION1,CMCO2,2025,0.0
REGION1,CFCO2,2025,0.0
REGION1,TDCO2,2025,0.0
REGION1,CDCO2,2025,0.0
REGION1,CICO2,2025,-7.909
REGION1,DJCO2,2025,0.0
REGION1,EGCO2,2025,-35.989
REGION1,GQCO2,2025,-7.034
REGION1,ERCO2,2025,0.0
REGION1,ETCO2,2025,0.0
REGION1,GACO2,2025,-0.009
REGION1,GMCO2,2025,0.0
REGION1,GHCO2,2025,-4.617
REGION1,GNCO2,2025,0.0
REGION1,GWCO2,2025,0.0
REGION1,KECO2,2025,0.0
REGION1,LSCO2,2025,0.0
REGION1,LRCO2,2025,0.0
REGION1,LYCO2,2025,-2.374
REGION1,MWCO2,2025,0.0
REGION1,MLCO2,2025,0.0
REGION1,MRCO2,2025,0.0
REGION1,MACO2,2025,-0.055
REGION1,MZCO2,2025,-0.688
REGION1,NACO2,2025,0.0
REGION1,NECO2,2025,0.0
REGION1,NGCO2,2025,-17.486
REGION1,CGCO2,2025,0.0
REGION1,RWCO2,2025,0.0
REGION1,SNCO2,2025,0.0
REGION1,SLCO2,2025,0.0
REGION1,SOCO2,2025,0.0
REGION1,ZACO2,2025,-3.562
REGION1,SSCO2,2025,0.0
REGION1,SDCO2,2025,0.0
REGION1,SZCO2,2025,0.0
REGION1,TZCO2,2025,-2.293
REGION1,TGCO2,2025,0.0
REGION1,TNCO2,2025,-2.203
REGION1,UGCO2,2025,0.0
REGION1,ZMCO2,2025,0.0
REGION1,ZWCO2,2025,0.0
REGION1,ATCO2,2026,-10.078
REGION1,BECO2,2026,-21.654
REGION1,BGCO2,2026,-2.768
REGION1,HRCO2,2026,-2.747
REGION1,CYCO2,2026,0.0
REGION1,CZCO2,2026,-10.418
REGION1,DKCO2,2026,-3.177
REGION1,EECO2,2026,-0.391
REGION1,FICO2,2026,-1.433
REGION1,FRCO2,2026,-56.666
REGION1,DECO2,2026,-116.71
REGION1,GRCO2,2026,-2.876
REGION1,HUCO2,2026,-12.119
REGION1,IECO2,2026,-4.006
REGION1,ITCO2,2026,-72.424
REGION1,LVCO2,2026,-0.672
REGION1,LTCO2,2026,-2.496
REGION1,LUCO2,2026,-1.111
REGION1,MTCO2,2026,0.0
REGION1,NLCO2,2026,-34.581
REGION1,NOCO2,2026,-1.707
REGION1,PLCO2,2026,-26.189
REGION1,PTCO2,2026,-4.108
REGION1,ROCO2,2026,-12.293
REGION1,SKCO2,2026,-6.215
REGION1,SICO2,2026,-1.29
REGION1,ESCO2,2026,-32.149
REGION1,SECO2,2026,-1.165
REGION1,CHCO2,2026,-5.95
REGION1,UKCO2,2026,-83.641
REGION1,DZCO2,2026,-55.729
REGION1,AOCO2,2026,-0.926
REGION1,BJCO2,2026,0.0
REGION1,BWCO2,2026,0.0
REGION1,BFCO2,2026,0.0
REGION1,BICO2,2026,0.0
REGION1,CMCO2,2026,0.0
REGION1,CFCO2,2026,0.0
REGION1,TDCO2,2026,0.0
REGION1,CDCO2,2026,0.0
REGION1,CICO2,2026,-10.286
REGION1,DJCO2,2026,0.0
REGION1,EGCO2,2026,-37.513
REGION1,GQCO2,2026,-7.689
REGION1,ERCO2,2026,0.0
REGION1,ETCO2,2026,0.0
REGION1,GACO2,2026,-0.009
REGION1,GMCO2,2026,0.0
REGION1,GHCO2,2026,-6.005
REGION1,GNCO2,2026,0.0
REGION1,GWCO2,2026,0.0
REGION1,KECO2,2026,0.0
REGION1,LSCO2,2026,0.0
REGION1,LRCO2,2026,0.0
REGION1,LYCO2,2026,-2.443
REGION1,MWCO2,2026,0.0
REGION1,MLCO2,2026,0.0
REGION1,MRCO2,2026,0.0
REGION1,MACO2,2026,-0.055
REGION1,MZCO2,2026,-0.74
REGION1,NACO2,2026,0.0
REGION1,NECO2,2026,0.0
REGION1,NGCO2,2026,-18.215
REGION1,CGCO2,2026,0.0
REGION1,RWCO2,2026,0.0
REGION1,SNCO2,2026,0.0
REGION1,SLCO2,2026,0.0
REGION1,SOCO2,2026,0.0
REGION1,ZACO2,2026,-3.682
REGION1,SSCO2,2026,0.0
REGION1,SDCO2,2026,0.0
REGION1,SZCO2,2026,0.0
REGION1,TZCO2,2026,-2.467
REGION1,TGCO2,2026,0.0
REGION1,TNCO2,2026,-2.303
REGION1,UGCO2,2026,0.0
REGION1,ZMCO2,2026,0.0
REGION1,ZWCO2,2026,0.0
REGION1,ATCO2,2027,-10.067
REGION1,BECO2,2027,-21.632
REGION1,BGCO2,2027,-2.782
REGION1,HRCO2,2027,-2.761
REGION1,CYCO2,2027,0.0
REGION1,CZCO2,2027,-10.478
REGION1,DKCO2,2027,-3.173
REGION1,EECO2,2027,-0.39
REGION1,FICO2,2027,-1.432
REGION1,FRCO2,2027,-56.605
REGION1,DECO2,2027,-116.584
REGION1,GRCO2,2027,-2.873
REGION1,HUCO2,2027,-12.183
REGION1,IECO2,2027,-4.001
REGION1,ITCO2,2027,-72.344
REGION1,LVCO2,2027,-0.671
REGION1,LTCO2,2027,-2.494
REGION1,LUCO2,2027,-1.11
REGION1,MTCO2,2027,0.0
REGION1,NLCO2,2027,-34.546
REGION1,NOCO2,2027,-1.706
REGION1,PLCO2,2027,-26.323
REGION1,PTCO2,2027,-4.104
REGION1,ROCO2,2027,-12.364
REGION1,SKCO2,2027,-6.247
REGION1,SICO2,2027,-1.297
REGION1,ESCO2,2027,-32.114
REGION1,SECO2,2027,-1.164
REGION1,CHCO2,2027,-5.943
REGION1,UKCO2,2027,-83.549
REGION1,DZCO2,2027,-57.412
REGION1,AOCO2,2027,-1.054
REGION1,BJCO2,2027,0.0
REGION1,BWCO2,2027,0.0
REGION1,BFCO2,2027,0.0
REGION1,BICO2,2027,0.0
REGION1,CMCO2,2027,0.0
REGION1,CFCO2,2027,0.0
REGION1,TDCO2,2027,0.0
REGION1,CDCO2,2027,0.0
REGION1,CICO2,2027,-12.663
REGION1,DJCO2,2027,0.0
REGION1,EGCO2,2027,-39.038
REGION1,GQCO2,2027,-8.343
REGION1,ERCO2,2027,0.0
REGION1,ETCO2,2027,0.0
REGION1,GACO2,2027,-0.01
REGION1,GMCO2,2027,0.0
REGION1,GHCO2,2027,-7.392
REGION1,GNCO2,2027,0.0
REGION1,GWCO2,2027,0.0
REGION1,KECO2,2027,0.0
REGION1,LSCO2,2027,0.0
REGION1,LRCO2,2027,0.0
REGION1,LYCO2,2027,-2.513
REGION1,MWCO2,2027,0.0
REGION1,MLCO2,2027,0.0
REGION1,MRCO2,2027,0.0
REGION1,MACO2,2027,-0.055
REGION1,MZCO2,2027,-0.793
REGION1,NACO2,2027,0.0
REGION1,NECO2,2027,0.0
REGION1,NGCO2,2027,-18.944
REGION1,CGCO2,2027,0.0
REGION1,RWCO2,2027,0.0
REGION1,SNCO2,2027,0.0
REGION1,SLCO2,2027,0.0
REGION1,SOCO2,2027,0.0
REGION1,ZACO2,2027,-3.802
REGION1,SSCO2,2027,0.0
REGION1,SDCO2,2027,0.0
REGION1,SZCO2,2027,0.0
REGION1,TZCO2,2027,-2.642
REGION1,TGCO2,2027,0.0
REGION1,TNCO2,2027,-2.403
REGION1,UGCO2,2027,0.0
REGION1,ZMCO2,2027,0.0
REGION1,ZWCO2,2027,0.0
REGION1,ATCO2,2028,-10.057
REGION1,BECO2,2028,-21.61
REGION1,BGCO2,2028,-2.797
REGION1,HRCO2,2028,-2.776
REGION1,CYCO2,2028,0.0
REGION1,CZCO2,2028,-10.538
REGION1,DKCO2,2028,-3.17
REGION1,EECO2,2028,-0.39
REGION1,FICO2,2028,-1.43
REGION1,FRCO2,2028,-56.544
REGION1,DECO2,2028,-116.458
REGION1,GRCO2,2028,-2.87
REGION1,HUCO2,2028,-12.247
REGION1,IECO2,2028,-3.997
REGION1,ITCO2,2028,-72.265
REGION1,LVCO2,2028,-0.671
REGION1,LTCO2,2028,-2.492
REGION1,LUCO2,2028,-1.108
REGION1,MTCO2,2028,0.0
REGION1,NLCO2,2028,-34.512
REGION1,NOCO2,2028,-1.705
REGION1,PLCO2,2028,-26.456
REGION1,PTCO2,2028,-4.099
REGION1,ROCO2,2028,-12.435
REGION1,SKCO2,2028,-6.279
REGION1,SICO2,2028,-1.305
REGION1,ESCO2,2028,-32.079
REGION1,SECO2,2028,-1.163
REGION1,CHCO2,2028,-5.936
REGION1,UKCO2,2028,-83.456
REGION1,DZCO2,2028,-59.095
REGION1,AOCO2,2028,-1.183
REGION1,BJCO2,2028,0.0
REGION1,BWCO2,2028,0.0
REGION1,BFCO2,2028,0.0
REGION1,BICO2,2028,0.0
REGION1,CMCO2,2028,0.0
REGION1,CFCO2,2028,0.0
REGION1,TDCO2,2028,0.0
REGION1,CDCO2,2028,0.0
REGION1,CICO2,2028,-15.04
REGION1,DJCO2,2028,0.0
REGION1,EGCO2,2028,-40.562
REGION1,GQCO2,2028,-8.997
REGION1,ERCO2,2028,0.0
REGION1,ETCO2,2028,0.0
REGION1,GACO2,2028,-0.011
REGION1,GMCO2,2028,0.0
REGION1,GHCO2,2028,-8.78
REGION1,GNCO2,2028,0.0
REGION1,GWCO2,2028,0.0
REGION1,KECO2,2028,0.0
REGION1,LSCO2,2028,0.0
REGION1,LRCO2,2028,0.0
REGION1,LYCO2,2028,-2.582
REGION1,MWCO2,2028,0.0
REGION1,MLCO2,2028,0.0
REGION1,MRCO2,2028,0.0
REGION1,MACO2,2028,-0.055
REGION1,MZCO2,2028,-0.845
REGION1,NACO2,2028,0.0
REGION1,NECO2,2028,0.0
REGION1,NGCO2,2028,-19.673
REGION1,CGCO2,2028,0.0
REGION1,RWCO2,2028,0.0
REGION1,SNCO2,2028,0.0
REGION1,SLCO2,2028,0.0
REGION1,SOCO2,2028,0.0
REGION1,ZACO2,2028,-3.922
REGION1,SSCO2,2028,0.0
REGION1,SDCO2,2028,0.0
REGION1,SZCO2,2028,0.0
REGION1,TZCO2,2028,-2.816
REGION1,TGCO2,2028,0.0
REGION1,TNCO2,2028,-2.504
REGION1,UGCO2,2028,0.0
REGION1,ZMCO2,2028,0.0
REGION1,ZWCO2,2028,0.0
REGION1,ATCO2,2029,-10.046
REGION1,BECO2,2029,-21.588
REGION1,BGCO2,2029,-2.811
REGION1,HRCO2,2029,-2.79
REGION1,CYCO2,2029,0.0
REGION1,CZCO2,2029,-10.597
REGION1,DKCO2,2029,-3.166
REGION1,EECO2,2029,-0.39
REGION1,FICO2,2029,-1.429
REGION1,FRCO2,2029,-56.483
REGION1,DECO2,2029,-116.333
REGION1,GRCO2,2029,-2.867
REGION1,HUCO2,2029,-12.311
REGION1,IECO2,2029,-3.992
REGION1,ITCO2,2029,-72.185
REGION1,LVCO2,2029,-0.67
REGION1,LTCO2,2029,-2.491
REGION1,LUCO2,2029,-1.107
REGION1,MTCO2,2029,0.0
REGION1,NLCO2,2029,-34.477
REGION1,NOCO2,2029,-1.704
REGION1,PLCO2,2029,-26.589
REGION1,PTCO2,2029,-4.095
REGION1,ROCO2,2029,-12.506
REGION1,SKCO2,2029,-6.311
REGION1,SICO2,2029,-1.312
REGION1,ESCO2,2029,-32.044
REGION1,SECO2,2029,-1.162
REGION1,CHCO2,2029,-5.93
REGION1,UKCO2,2029,-83.363
REGION1,DZCO2,2029,-60.779
REGION1,AOCO2,2029,-1.311
REGION1,BJCO2,2029,0.0
REGION1,BWCO2,2029,0.0
REGION1,BFCO2,2029,0.0
REGION1,BICO2,2029,0.0
REGION1,CMCO2,2029,0.0
REGION1,CFCO2,2029,0.0
REGION1,TDCO2,2029,0.0
REGION1,CDCO2,2029,0.0
REGION1,CICO2,2029,-17.417
REGION1,DJCO2,2029,0.0
REGION1,EGCO2,2029,-42.087
REGION1,GQCO2,2029,-9.651
REGION1,ERCO2,2029,0.0
REGION1,ETCO2,2029,0.0
REGION1,GACO2,2029,-0.012
REGION1,GMCO2,2029,0.0
REGION1,GHCO2,2029,-10.168
REGION1,GNCO2,2029,0.0
REGION1,GWCO2,2029,0.0
REGION1,KECO2,2029,0.0
REGION1,LSCO2,2029,0.0
REGION1,LRCO2,2029,0.0
REGION1,LYCO2,2029,-2.651
REGION1,MWCO2,2029,0.0
REGION1,MLCO2,2029,0.0
REGION1,MRCO2,2029,0.0
REGION1,MACO2,2029,-0.055
REGION1,MZCO2,2029,-0.897
REGION1,NACO2,2029,0.0
