REGION,TECHNOLOGY,STORAGE,MODE_OF_OPERATION,VALUE
REGION1,ZABATTN1,ZABATSN1,1,1.0
REGION1,SSBATTN1,SSBATSN1,1,1.0
REGION1,SDBATTN1,SDBATSN1,1,1.0
REGION1,TZBATTN1,TZBATSN1,1,1.0
REGION1,TGBATTN1,TGBATSN1,1,1.0
REGION1,TNBATTN1,TNBATSN1,1,1.0
REGION1,UGBATTN1,UGBATSN1,1,1.0
REGION1,ZMBATTN1,ZMBATSN1,1,1.0
REGION1,ZWBATTN1,ZWBATSN1,1,1.0
REGION1,MAHYDSPH1,MAHYDSSH1,1,1.0
REGION1,ZAHYDSPH1,ZAHYDSSH1,1,1.0
REGION1,MAHYDSPN1,MAHYDSSN1,1,1.0
REGION1,ZAHYDSPN1,ZAHYDSSN1,1,1.0
REGION1,TNHYDSPN1,TNHYDSSN1,1,1.0
