REGION,STORAGE,YEAR,VALUE
REGION1,ATHYDSSN1,2022,0.0
REGION1,BEHYDSSN1,2022,0.0
REGION1,BGHYDSSN1,2022,0.0
REGION1,CZHYDSSN1,2022,0.0
REGION1,DEHYDSSN1,2022,0.0
REGION1,GRHYDSSN1,2022,0.0
REGION1,ESHYDSSN1,2022,0.0
REGION1,FRHYDSSN1,2022,0.0
REGION1,HRHYDSSN1,2022,0.0
REGION1,IEHYDSSN1,2022,0.0
REGION1,ITHYDSSN1,2022,0.0
REGION1,LTHYDSSN1,2022,0.0
REGION1,LUHYDSSN1,2022,0.0
REGION1,SLHYDSSN1,2022,0.0
REGION1,STHYDSSN1,2022,0.0
REGION1,ROHYDSSN1,2022,0.0
REGION1,SEHYDSSN1,2022,0.0
REGION1,SIHYDSSN1,2022,0.0
REGION1,SKHYDSSN1,2022,0.0
REGION1,CHHYDSSN1,2022,0.0
REGION1,UKHYDSSN1,2022,0.0
REGION1,MAHYDSSH1,2022,0.0133632
REGION1,ZAHYDSSH1,2022,0.0786816
REGION1,ATHYDSSH1,2023,0.172786176
REGION1,BEHYDSSH1,2023,0.03757824
REGION1,BGHYDSSH1,2023,0.0369216
REGION1,CZHYDSSH1,2023,0.033043968
REGION1,DEHYDSSH1,2023,0.192259008
REGION1,GRHYDSSH1,2023,0.0201312
REGION1,ESHYDSSH1,2023,0.1810613021538459
REGION1,FRHYDSSH1,2023,0.1704355199999997
REGION1,HRHYDSSH1,2023,0.00846144
REGION1,IEHYDSSH1,2023,0.0084096
REGION1,ITHYDSSH1,2023,0.2184566399999997
REGION1,LTHYDSSH1,2023,0.02592
REGION1,LUHYDSSH1,2023,0.034776
REGION1,SLHYDSSH1,2023,0.051332256
REGION1,STHYDSSH1,2023,0.07291008
REGION1,ROHYDSSH1,2023,0.0057168
REGION1,SEHYDSSH1,2023,0.0026496
REGION1,SIHYDSSH1,2023,0.0051264
REGION1,SKHYDSSH1,2023,0.0264096
REGION1,CHHYDSSH1,2023,0.0155177478203343
REGION1,UKHYDSSH1,2023,0.07379954372623564
REGION1,ATBATSH1,2023,4.711219199999999e-05
REGION1,BEBATSH1,2023,6.63552e-05
REGION1,BGBATSH1,2023,0.0
REGION1,CHBATSH1,2023,0.0
REGION1,CYBATSH1,2023,0.0
REGION1,CZBATSH1,2023,0.0
REGION1,DEBATSH1,2023,0.0
REGION1,DKBATSH1,2023,0.0
REGION1,EEBATSH1,2023,0.0
REGION1,GRBATSH1,2023,0.00128990859264
REGION1,ESBATSH1,2023,0.0
REGION1,FIBATSH1,2023,0.0
REGION1,FRBATSH1,2023,0.0
REGION1,HRBATSH1,2023,0.0005439135743999999
REGION1,HUBATSH1,2023,0.0
REGION1,IEBATSH1,2023,0.0
REGION1,ITBATSH1,2023,0.0
REGION1,LTBATSH1,2023,0.0
REGION1,LUBATSH1,2023,0.0
REGION1,LVBATSH1,2023,0.0
REGION1,MTBATSH1,2023,0.0
REGION1,NLBATSH1,2023,0.0
REGION1,NOBATSH1,2023,0.0
REGION1,PLBATSH1,2023,0.0
REGION1,PTBATSH1,2023,0.0
REGION1,ROBATSH1,2023,0.0
REGION1,SEBATSH1,2023,0.0
REGION1,SIBATSH1,2023,0.0
REGION1,SKBATSH1,2023,0.0
REGION1,UKBATSH1,2023,0.0019574783999999996
REGION1,ATHYDSSN1,2023,0.0
REGION1,BEHYDSSN1,2023,0.0
REGION1,BGHYDSSN1,2023,0.0
REGION1,CZHYDSSN1,2023,0.0
REGION1,DEHYDSSN1,2023,0.0
REGION1,GRHYDSSN1,2023,0.0
REGION1,ESHYDSSN1,2023,0.0
REGION1,FRHYDSSN1,2023,0.0
REGION1,HRHYDSSN1,2023,0.0
REGION1,IEHYDSSN1,2023,0.0
REGION1,ITHYDSSN1,2023,0.0
REGION1,LTHYDSSN1,2023,0.0
REGION1,LUHYDSSN1,2023,0.0
REGION1,SLHYDSSN1,2023,0.0
REGION1,STHYDSSN1,2023,0.0
REGION1,ROHYDSSN1,2023,0.0
REGION1,SEHYDSSN1,2023,0.0
REGION1,SIHYDSSN1,2023,0.0
REGION1,SKHYDSSN1,2023,0.0
REGION1,CHHYDSSN1,2023,0.0
REGION1,UKHYDSSN1,2023,0.0
REGION1,MAHYDSSH1,2023,0.0133632
REGION1,ZAHYDSSH1,2023,0.0786816
REGION1,ATHYDSSH1,2024,0.172786176
REGION1,BEHYDSSH1,2024,0.03757824
REGION1,BGHYDSSH1,2024,0.0369216
REGION1,CZHYDSSH1,2024,0.033043968
REGION1,DEHYDSSH1,2024,0.192259008
REGION1,GRHYDSSH1,2024,0.0201312
REGION1,ESHYDSSH1,2024,0.1810559852307691
REGION1,FRHYDSSH1,2024,0.1704355199999997
REGION1,HRHYDSSH1,2024,0.00846144
REGION1,IEHYDSSH1,2024,0.0084096
REGION1,ITHYDSSH1,2024,0.2184566399999997
REGION1,LTHYDSSH1,2024,0.02592
REGION1,LUHYDSSH1,2024,0.034776
REGION1,SLHYDSSH1,2024,0.051332256
REGION1,STHYDSSH1,2024,0.07291008
REGION1,ROHYDSSH1,2024,0.0057168
REGION1,SEHYDSSH1,2024,0.0026496
REGION1,SIHYDSSH1,2024,0.0051264
REGION1,SKHYDSSH1,2024,0.0264096
REGION1,CHHYDSSH1,2024,0.01518382173050145
REGION1,UKHYDSSH1,2024,0.07325931558935347
REGION1,ATBATSH1,2024,4.522770431999999e-05
REGION1,BEBATSH1,2024,6.3700992e-05
REGION1,BGBATSH1,2024,0.0
REGION1,CHBATSH1,2024,0.0
REGION1,CYBATSH1,2024,0.0
REGION1,CZBATSH1,2024,0.0
REGION1,DEBATSH1,2024,0.0
REGION1,DKBATSH1,2024,0.0
REGION1,EEBATSH1,2024,0.0
REGION1,GRBATSH1,2024,0.0012383122489343999
REGION1,ESBATSH1,2024,0.0
REGION1,FIBATSH1,2024,0.0
REGION1,FRBATSH1,2024,0.0
REGION1,HRBATSH1,2024,0.0005221570314239999
REGION1,HUBATSH1,2024,0.0
REGION1,IEBATSH1,2024,0.0
REGION1,ITBATSH1,2024,0.0
REGION1,LTBATSH1,2024,0.0
REGION1,LUBATSH1,2024,0.0
REGION1,LVBATSH1,2024,0.0
REGION1,MTBATSH1,2024,0.0
REGION1,NLBATSH1,2024,0.0
REGION1,NOBATSH1,2024,0.0
REGION1,PLBATSH1,2024,0.0
REGION1,PTBATSH1,2024,0.0
REGION1,ROBATSH1,2024,0.0
REGION1,SEBATSH1,2024,0.0
REGION1,SIBATSH1,2024,0.0
REGION1,SKBATSH1,2024,0.0
REGION1,UKBATSH1,2024,0.0018791792639999995
REGION1,ATHYDSSN1,2024,0.0
REGION1,BEHYDSSN1,2024,0.0
REGION1,BGHYDSSN1,2024,0.0
REGION1,CZHYDSSN1,2024,0.0
REGION1,DEHYDSSN1,2024,0.0
REGION1,GRHYDSSN1,2024,0.0
REGION1,ESHYDSSN1,2024,0.0
REGION1,FRHYDSSN1,2024,0.0
REGION1,HRHYDSSN1,2024,0.0
REGION1,IEHYDSSN1,2024,0.0
REGION1,ITHYDSSN1,2024,0.0
REGION1,LTHYDSSN1,2024,0.0
REGION1,LUHYDSSN1,2024,0.0
REGION1,SLHYDSSN1,2024,0.0
REGION1,STHYDSSN1,2024,0.0
REGION1,ROHYDSSN1,2024,0.0
REGION1,SEHYDSSN1,2024,0.0
REGION1,SIHYDSSN1,2024,0.0
REGION1,SKHYDSSN1,2024,0.0
REGION1,CHHYDSSN1,2024,0.0
REGION1,UKHYDSSN1,2024,0.0
REGION1,MAHYDSSH1,2024,0.0133632
REGION1,ZAHYDSSH1,2024,0.0786816
REGION1,ATHYDSSH1,2025,0.172786176
REGION1,BEHYDSSH1,2025,0.03757824
REGION1,BGHYDSSH1,2025,0.0369216
REGION1,CZHYDSSH1,2025,0.033043968
REGION1,DEHYDSSH1,2025,0.192259008
REGION1,GRHYDSSH1,2025,0.0201312
REGION1,ESHYDSSH1,2025,0.1810506683076921
REGION1,FRHYDSSH1,2025,0.1704355199999997
REGION1,HRHYDSSH1,2025,0.00846144
REGION1,IEHYDSSH1,2025,0.0084096
REGION1,ITHYDSSH1,2025,0.2184566399999997
REGION1,LTHYDSSH1,2025,0.02592
REGION1,LUHYDSSH1,2025,0.034776
REGION1,SLHYDSSH1,2025,0.051332256
REGION1,STHYDSSH1,2025,0.07291008
REGION1,ROHYDSSH1,2025,0.0057168
REGION1,SEHYDSSH1,2025,0.0026496
REGION1,SIHYDSSH1,2025,0.0051264
REGION1,SKHYDSSH1,2025,0.0264096
REGION1,CHHYDSSH1,2025,0.0148498956406686
REGION1,UKHYDSSH1,2025,0.0727190874524713
REGION1,ATBATSH1,2025,4.341859614719999e-05
REGION1,BEBATSH1,2025,6.115295232e-05
REGION1,BGBATSH1,2025,0.0
REGION1,CHBATSH1,2025,0.0
REGION1,CYBATSH1,2025,0.0
REGION1,CZBATSH1,2025,0.0
REGION1,DEBATSH1,2025,0.0
REGION1,DKBATSH1,2025,0.0
REGION1,EEBATSH1,2025,0.0
REGION1,GRBATSH1,2025,0.0011887797589770239
REGION1,ESBATSH1,2025,0.0
REGION1,FIBATSH1,2025,0.0
REGION1,FRBATSH1,2025,0.0
REGION1,HRBATSH1,2025,0.0005012707501670399
REGION1,HUBATSH1,2025,0.0
REGION1,IEBATSH1,2025,0.0
REGION1,ITBATSH1,2025,0.0
REGION1,LTBATSH1,2025,0.0
REGION1,LUBATSH1,2025,0.0
REGION1,LVBATSH1,2025,0.0
REGION1,MTBATSH1,2025,0.0
REGION1,NLBATSH1,2025,0.0
REGION1,NOBATSH1,2025,0.0
REGION1,PLBATSH1,2025,0.0
REGION1,PTBATSH1,2025,0.0
REGION1,ROBATSH1,2025,0.0
REGION1,SEBATSH1,2025,0.0
REGION1,SIBATSH1,2025,0.0
REGION1,SKBATSH1,2025,0.0
REGION1,UKBATSH1,2025,0.0018040120934399995
REGION1,ATHYDSSN1,2025,0.0
REGION1,BEHYDSSN1,2025,0.0
REGION1,BGHYDSSN1,2025,0.0
REGION1,CZHYDSSN1,2025,0.0
REGION1,DEHYDSSN1,2025,0.0
REGION1,GRHYDSSN1,2025,0.0
REGION1,ESHYDSSN1,2025,0.0
REGION1,FRHYDSSN1,2025,0.0
REGION1,HRHYDSSN1,2025,0.0
REGION1,IEHYDSSN1,2025,0.0
REGION1,ITHYDSSN1,2025,0.0
REGION1,LTHYDSSN1,2025,0.0
REGION1,LUHYDSSN1,2025,0.0
REGION1,SLHYDSSN1,2025,0.0
REGION1,STHYDSSN1,2025,0.0
REGION1,ROHYDSSN1,2025,0.0
REGION1,SEHYDSSN1,2025,0.0
