REGION,FUEL,YEAR,VALUE
REGION1,FING,2023,24.848
REGION1,FRNG,2023,981.571
REGION1,DENG,2023,2021.601
REGION1,GRNG,2023,49.9
REGION1,HUNG,2023,208.108
REGION1,IENG,2023,69.311
REGION1,ITNG,2023,1253.705
REGION1,LVNG,2023,11.628
REGION1,LTNG,2023,43.759
REGION1,LUNG,2023,19.223
REGION1,MTNG,2023,0.0
REGION1,NLNG,2023,600.299
REGION1,NONG,2023,29.985
REGION1,PLNG,2023,450.345
REGION1,PTNG,2023,71.15
REGION1,RONG,2023,210.35
REGION1,SKNG,2023,106.832
REGION1,SING,2023,22.078
REGION1,ESNG,2023,556.807
REGION1,SENG,2023,20.369
REGION1,CHNG,2023,102.945
REGION1,UKNG,2023,1447.61
REGION1,DZNG,2023,917.876
REGION1,AONG,2023,10.715
REGION1,BJNG,2023,0.0
REGION1,BWNG,2023,0.0
REGION1,BFNG,2023,0.0
REGION1,BING,2023,0.0
REGION1,CMNG,2023,0.0
REGION1,CFNG,2023,0.0
REGION1,TDNG,2023,0.0
REGION1,CDNG,2023,0.0
REGION1,CING,2023,56.24096428571434
REGION1,DJNG,2023,0.0
REGION1,EGNG,2023,654.229
REGION1,GQNG,2023,102.0693607142857
REGION1,ERNG,2023,0.0
REGION1,ETNG,2023,0.0
REGION1,GANG,2023,0.12392857142857144
REGION1,GMNG,2023,0.0
REGION1,GHNG,2023,32.83271428571419
REGION1,GNNG,2023,0.0
REGION1,GWNG,2023,0.0
REGION1,KENG,2023,0.0
REGION1,LSNG,2023,0.0
REGION1,LRNG,2023,0.0
REGION1,LYNG,2023,39.451
REGION1,MWNG,2023,0.0
REGION1,MLNG,2023,0.0
REGION1,MRNG,2023,0.0
REGION1,MANG,2023,1.925
REGION1,MZNG,2023,7.439
REGION1,NANG,2023,0.0
REGION1,NENG,2023,0.0
REGION1,NGNG,2023,214.412
REGION1,CGNG,2023,0.0
REGION1,RWNG,2023,0.0
REGION1,SNNG,2023,0.0
REGION1,SLNG,2023,0.0
REGION1,SONG,2023,0.0
REGION1,ZANG,2023,60.666
REGION1,SSNG,2023,0.0
REGION1,SDNG,2023,0.0
REGION1,SZNG,2023,0.0
REGION1,TZNG,2023,24.793
REGION1,TGNG,2023,0.0
REGION1,TNNG,2023,60.244
REGION1,UGNG,2023,0.0
REGION1,ZMNG,2023,0.0
REGION1,ZWNG,2023,0.0
REGION1,ATNG,2024,177.284
REGION1,BENG,2024,381.049
REGION1,BGNG,2024,48.316
REGION1,HRNG,2024,47.946
REGION1,CYNG,2024,0.0
REGION1,CZNG,2024,181.49
REGION1,DKNG,2024,55.831
REGION1,EENG,2024,6.869
REGION1,FING,2024,25.211
REGION1,FRNG,2024,996.373
REGION1,DENG,2024,2052.122
REGION1,GRNG,2024,50.606
REGION1,HUNG,2024,211.498
REGION1,IENG,2024,70.398
REGION1,ITNG,2024,1273.056
REGION1,LVNG,2024,11.81
REGION1,LTNG,2024,44.135
REGION1,LUNG,2024,19.524
REGION1,MTNG,2024,0.0
REGION1,NLNG,2024,608.663
REGION1,NONG,2024,30.21
REGION1,PLNG,2024,457.403
REGION1,PTNG,2024,72.23
REGION1,RONG,2024,214.107
REGION1,SKNG,2024,108.523
REGION1,SING,2024,22.471
REGION1,ESNG,2024,565.243
REGION1,SENG,2024,20.574
REGION1,CHNG,2024,104.56
REGION1,UKNG,2024,1470.099
REGION1,DZNG,2024,940.626
REGION1,AONG,2024,12.46
REGION1,BJNG,2024,0.0
REGION1,BWNG,2024,0.0
REGION1,BFNG,2024,0.0
REGION1,BING,2024,0.0
REGION1,CMNG,2024,0.0
REGION1,CFNG,2024,0.0
REGION1,TDNG,2024,0.0
REGION1,CDNG,2024,0.0
REGION1,CING,2024,98.61092857142863
REGION1,DJNG,2024,0.0
REGION1,EGNG,2024,647.872
REGION1,GQNG,2024,113.72972142857141
REGION1,ERNG,2024,0.0
REGION1,ETNG,2024,0.0
REGION1,GANG,2024,0.13785714285714287
REGION1,GMNG,2024,0.0
REGION1,GHNG,2024,57.56742857142848
REGION1,GNNG,2024,0.0
REGION1,GWNG,2024,0.0
REGION1,KENG,2024,0.0
REGION1,LSNG,2024,0.0
REGION1,LRNG,2024,0.0
REGION1,LYNG,2024,40.883
REGION1,MWNG,2024,0.0
REGION1,MLNG,2024,0.0
REGION1,MRNG,2024,0.0
REGION1,MANG,2024,1.454
REGION1,MZNG,2024,9.852
REGION1,NANG,2024,0.0
REGION1,NENG,2024,0.0
REGION1,NGNG,2024,263.053
REGION1,CGNG,2024,0.0
REGION1,RWNG,2024,0.0
REGION1,SNNG,2024,0.0
REGION1,SLNG,2024,0.0
REGION1,SONG,2024,0.0
REGION1,ZANG,2024,62.081
REGION1,SSNG,2024,0.0
REGION1,SDNG,2024,0.0
REGION1,SZNG,2024,0.0
REGION1,TZNG,2024,32.832
REGION1,TGNG,2024,0.0
REGION1,TNNG,2024,49.756
REGION1,UGNG,2024,0.0
REGION1,ZMNG,2024,0.0
REGION1,ZWNG,2024,0.0
REGION1,ATNG,2025,179.823
REGION1,BENG,2025,386.382
REGION1,BGNG,2025,49.08
REGION1,HRNG,2025,48.709
REGION1,CYNG,2025,0.0
REGION1,CZNG,2025,184.65
REGION1,DKNG,2025,56.693
REGION1,EENG,2025,6.975
REGION1,FING,2025,25.573
REGION1,FRNG,2025,1011.176
REGION1,DENG,2025,2082.642
REGION1,GRNG,2025,51.311
REGION1,HUNG,2025,214.889
REGION1,IENG,2025,71.485
REGION1,ITNG,2025,1292.407
REGION1,LVNG,2025,11.993
REGION1,LTNG,2025,44.511
REGION1,LUNG,2025,19.826
REGION1,MTNG,2025,0.0
REGION1,NLNG,2025,617.028
REGION1,NONG,2025,30.436
REGION1,PLNG,2025,464.462
REGION1,PTNG,2025,73.31
REGION1,RONG,2025,217.863
