REGION,TECHNOLOGY,STORAGE,MODE_OF_OPERATION,VALUE
REGION1,UKHYDSPN1,UKHYDSSN1,2,1.0
REGION1,ATBATTH1,ATBATSH1,2,1.0
REGION1,BEBATTH1,BEBATSH1,2,1.0
REGION1,BGBATTH1,BGBATSH1,2,1.0
REGION1,CHBATTH1,CHBATSH1,2,1.0
REGION1,CYBATTH1,CYBATSH1,2,1.0
REGION1,CZBATTH1,CZBATSH1,2,1.0
REGION1,DEBATTH1,DEBATSH1,2,1.0
REGION1,DKBATTH1,DKBATSH1,2,1.0
REGION1,EEBATTH1,EEBATSH1,2,1.0
REGION1,GRBATTH1,GRBATSH1,2,1.0
REGION1,ESBATTH1,ESBATSH1,2,1.0
REGION1,FIBATTH1,FIBATSH1,2,1.0
REGION1,FRBATTH1,FRBATSH1,2,1.0
REGION1,HRBATTH1,HRBATSH1,2,1.0
REGION1,HUBATTH1,HUBATSH1,2,1.0
REGION1,IEBATTH1,IEBATSH1,2,1.0
REGION1,ITBATTH1,ITBATSH1,2,1.0
REGION1,LTBATTH1,LTBATSH1,2,1.0
REGION1,LUBATTH1,LUBATSH1,2,1.0
REGION1,LVBATTH1,LVBATSH1,2,1.0
REGION1,MTBATTH1,MTBATSH1,2,1.0
REGION1,NLBATTH1,NLBATSH1,2,1.0
REGION1,NOBATTH1,NOBATSH1,2,1.0
REGION1,PLBATTH1,PLBATSH1,2,1.0
REGION1,PTBATTH1,PTBATSH1,2,1.0
REGION1,ROBATTH1,ROBATSH1,2,1.0
REGION1,SEBATTH1,SEBATSH1,2,1.0
REGION1,SIBATTH1,SIBATSH1,2,1.0
REGION1,SKBATTH1,SKBATSH1,2,1.0
REGION1,UKBATTH1,UKBATSH1,2,1.0
REGION1,DZBATTN1,DZBATSN1,2,1.0
REGION1,AOBATTN1,AOBATSN1,2,1.0
REGION1,BJBATTN1,BJBATSN1,2,1.0
REGION1,BWBATTN1,BWBATSN1,2,1.0
REGION1,BFBATTN1,BFBATSN1,2,1.0
REGION1,BIBATTN1,BIBATSN1,2,1.0
REGION1,CMBATTN1,CMBATSN1,2,1.0
REGION1,CFBATTN1,CFBATSN1,2,1.0
REGION1,TDBATTN1,TDBATSN1,2,1.0
REGION1,CIBATTN1,CIBATSN1,2,1.0
REGION1,DJBATTN1,DJBATSN1,2,1.0
REGION1,CDBATTN1,CDBATSN1,2,1.0
REGION1,EGBATTN1,EGBATSN1,2,1.0
REGION1,GQBATTN1,GQBATSN1,2,1.0
REGION1,ERBATTN1,ERBATSN1,2,1.0
REGION1,SZBATTN1,SZBATSN1,2,1.0
REGION1,ETBATTN1,ETBATSN1,2,1.0
REGION1,GABATTN1,GABATSN1,2,1.0
REGION1,GMBATTN1,GMBATSN1,2,1.0
REGION1,GHBATTN1,GHBATSN1,2,1.0
REGION1,GNBATTN1,GNBATSN1,2,1.0
REGION1,GWBATTN1,GWBATSN1,2,1.0
REGION1,KEBATTN1,KEBATSN1,2,1.0
REGION1,LSBATTN1,LSBATSN1,2,1.0
REGION1,LRBATTN1,LRBATSN1,2,1.0
REGION1,LYBATTN1,LYBATSN1,2,1.0
REGION1,MWBATTN1,MWBATSN1,2,1.0
REGION1,MLBATTN1,MLBATSN1,2,1.0
REGION1,MRBATTN1,MRBATSN1,2,1.0
REGION1,MABATTN1,MABATSN1,2,1.0
REGION1,MZBATTN1,MZBATSN1,2,1.0
