REGION,TECHNOLOGY,VALUE
REGION1,GRNGCHPH1,25.0
REGION1,GRSOUTPH1,30.0
REGION1,GRWIONPH1,30.0
REGION1,GRLICHPH1,25.0
REGION1,GRLIELH1,40.0
REGION1,GRBFCHPH1,35.0
REGION1,GRRGCHPH1,25.0
REGION1,GRDSCHPH1,25.0
REGION1,GRDSELH1,30.0
REGION1,GRBMCHPH1,35.0
REGION1,ESCOCHPH1,25.0
REGION1,ESCOSTPH1,40.0
REGION1,ESNUG2PH1,35.0
REGION1,ESLISTPH1,40.0
REGION1,ESNGCCPH1,30.0
REGION1,ESNGCHPH1,25.0
REGION1,ESBFCHPH1,35.0
REGION1,ESBFSTPH1,25.0
REGION1,ESDGCHPH1,25.0
REGION1,ESDGELH1,30.0
REGION1,ESRGCHPH1,25.0
REGION1,ESRGELH1,30.0
REGION1,ESDSCHPH1,25.0
REGION1,ESDSELH1,30.0
REGION1,ESHFCHPH1,25.0
REGION1,ESHFSTPH1,30.0
REGION1,ESBMCHPH1,35.0
REGION1,ESBMSTPH1,40.0
REGION1,ESWSCHPH1,35.0
REGION1,ESWSSTPH1,20.0
REGION1,ESWIOFPH1,30.0
REGION1,ESWIONPH1,30.0
REGION1,ESSOUTPH1,30.0
REGION1,ESSOSTHH1,25.0
REGION1,ESOCWVPH1,80.0
REGION1,ESHYDMPH1,60.0
REGION1,ESHYDRPH1,50.0
REGION1,ESHYDSPH1,50.0
REGION1,FIBFHPFH1,25.0
REGION1,FIBMSTPH1,40.0
REGION1,FICOCHPH1,25.0
REGION1,FICOSTPH1,40.0
REGION1,FIHFCHPH1,25.0
REGION1,FIHFSTPH1,30.0
REGION1,FIHYDMPH1,60.0
REGION1,FIHYDRPH1,50.0
REGION1,FINGCCPH1,30.0
REGION1,FINGCHPH1,25.0
REGION1,FINUG2PH1,35.0
REGION1,FISOUTPH1,30.0
REGION1,FIWIOFPH1,30.0
REGION1,FIWIONPH1,30.0
REGION1,FIWSCHPH1,35.0
REGION1,FILICHPH1,25.0
REGION1,FILIELH1,40.0
REGION1,FIBFCHPH1,35.0
REGION1,FIDGCHPH1,25.0
REGION1,FIDGELH1,30.0
REGION1,FIRGCHPH1,25.0
REGION1,FIRGELH1,30.0
REGION1,FIDSCHPH1,25.0
REGION1,FIDSELH1,30.0
REGION1,FIBMCHPH1,35.0
REGION1,FRNUG2PH1,35.0
REGION1,FRCOCHPH1,25.0
REGION1,FRCOSTPH1,40.0
REGION1,FRNGCCPH1,30.0
REGION1,FRNGCHPH1,25.0
REGION1,FRBFHPFH1,25.0
REGION1,FRBFCHPH1,35.0
REGION1,FRDGELH1,30.0
REGION1,FRRGCHPH1,25.0
REGION1,FRRGELH1,30.0
REGION1,FRDSCHPH1,25.0
REGION1,FRDSELH1,30.0
REGION1,FRHFCHPH1,25.0
REGION1,FRHFSTPH1,30.0
REGION1,FRBMCHPH1,35.0
REGION1,FRBMSTPH1,40.0
REGION1,FRWSCHPH1,35.0
REGION1,FRWSSTPH1,20.0
REGION1,FRWIONPH1,30.0
REGION1,FRWIOFPH1,30.0
REGION1,FRSOUTPH1,30.0
REGION1,FRSOSTHH1,25.0
REGION1,FRGOCVPH1,30.0
REGION1,FRTIDH1,80.0
REGION1,FROCWVPH1,80.0
REGION1,FRHYDMPH1,60.0
REGION1,FRHYDRPH1,50.0
REGION1,FRHYDSPH1,50.0
REGION1,HRBFHPFH1,25.0
REGION1,HRBMCHPH1,35.0
REGION1,HRCOSTPH1,40.0
REGION1,HRHFCHPH1,25.0
REGION1,HRHFSTPH1,30.0
REGION1,HRHYDMPH1,60.0
REGION1,HRHYDRPH1,50.0
REGION1,HRHYDSPH1,50.0
REGION1,HRNGCCPH1,30.0
REGION1,HRNGCHPH1,25.0
REGION1,HRSOUTPH1,30.0
REGION1,HRWIONPH1,30.0
REGION1,HRLICHPH1,25.0
REGION1,HRBFCHPH1,35.0
REGION1,HRRGCHPH1,25.0
REGION1,HRDSCHPH1,25.0
REGION1,HRDSELH1,30.0
REGION1,HRGOCVPH1,30.0
REGION1,HUNUG2PH1,35.0
REGION1,HUCOCHPH1,25.0
REGION1,HUCOSTPH1,40.0
REGION1,HULICHPH1,25.0
REGION1,HULIELH1,40.0
REGION1,HUNGCCPH1,30.0
REGION1,HUNGCHPH1,25.0
REGION1,HUBFCHPH1,35.0
REGION1,HUDGCHPH1,25.0
REGION1,HUDGELH1,30.0
REGION1,HURGCHPH1,25.0
REGION1,HUDSCHPH1,25.0
REGION1,HUDSELH1,30.0
REGION1,HUHFCHPH1,25.0
REGION1,HUHFSTPH1,30.0
REGION1,HUBMSTPH1,40.0
REGION1,HUBMCHPH1,35.0
REGION1,HUWSSTPH1,20.0
REGION1,HUWIONPH1,30.0
REGION1,HUSOUTPH1,30.0
REGION1,HUGOCVPH1,30.0
REGION1,HUHYDMPH1,60.0
REGION1,HUHYDRPH1,50.0
REGION1,IEBFHPFH1,25.0
REGION1,IEBMSTPH1,40.0
REGION1,IEHYDMPH1,60.0
REGION1,IEHYDRPH1,50.0
REGION1,IEHYDSPH1,50.0
REGION1,IENGCCPH1,30.0
REGION1,IENGCHPH1,25.0
REGION1,IESOUTPH1,30.0
REGION1,IEWIOFPH1,30.0
REGION1,IEWIONPH1,30.0
REGION1,IEWSSTPH1,20.0
REGION1,IECOSTPH1,40.0
REGION1,IELICHPH1,25.0
REGION1,IELIELH1,40.0
REGION1,IEBFCHPH1,35.0
REGION1,IERGCHPH1,25.0
REGION1,IEDSELH1,30.0
REGION1,IEDSCHPH1,25.0
REGION1,IEHFSTPH1,30.0
REGION1,IEBMCHPH1,35.0
REGION1,ITBFHPFH1,25.0
REGION1,ITBMCHPH1,35.0
REGION1,ITBMSTPH1,40.0
REGION1,ITCOCHPH1,25.0
REGION1,ITGOCVPH1,30.0
REGION1,ITHFCHPH1,25.0
REGION1,ITHFSTPH1,30.0
REGION1,ITHYDMPH1,60.0
REGION1,ITHYDSPH1,50.0
REGION1,ITNGCCPH1,30.0
REGION1,ITNGCHPH1,25.0
REGION1,ITSOUTPH1,30.0
REGION1,ITWIONPH1,30.0
REGION1,ITWSCHPH1,35.0
REGION1,ITWSSTPH1,20.0
REGION1,ITCOSTPH1,40.0
REGION1,ITBFCHPH1,35.0
REGION1,ITDGCHPH1,25.0
REGION1,ITDGELH1,30.0
REGION1,ITRGCHPH1,25.0
REGION1,ITRGELH1,30.0
REGION1,ITDSCHPH1,25.0
REGION1,ITDSELH1,30.0
REGION1,ITWIOFPH1,30.0
REGION1,ITHYDRPH1,50.0
REGION1,LTBMCHPH1,35.0
REGION1,LTHFCHPH1,25.0
REGION1,LTNGCHPH1,25.0
REGION1,LTSOUTPH1,30.0
REGION1,LTWIONPH1,30.0
REGION1,LTWSCHPH1,35.0
REGION1,LTBFCHPH1,35.0
REGION1,LTRGCHPH1,25.0
REGION1,LTDSCHPH1,25.0
REGION1,LTHYDRPH1,50.0
REGION1,LTHYDSPH1,50.0
REGION1,LUHYDSPH1,50.0
REGION1,LUNGCCPH1,30.0
REGION1,LUNGCHPH1,25.0
REGION1,LUSOUTPH1,30.0
REGION1,LUWIONPH1,30.0
REGION1,LUWSCHPH1,35.0
REGION1,LUBFCHPH1,35.0
REGION1,LUDSCHPH1,25.0
REGION1,LUBMCHPH1,35.0
REGION1,LUHYDRPH1,50.0
REGION1,LVCOCHPH1,25.0
REGION1,LVHFCHPH1,25.0
REGION1,LVHYDMPH1,60.0
REGION1,LVNGCCPH1,30.0
REGION1,LVNGCHPH1,25.0
REGION1,LVSOUTPH1,30.0
REGION1,LVWIONPH1,30.0
REGION1,LVLICHPH1,25.0
REGION1,LVBFCHPH1,35.0
REGION1,LVDSCHPH1,25.0
REGION1,LVBMCHPH1,35.0
REGION1,LVHYDRPH1,50.0
REGION1,MTSOUTPH1,30.0
REGION1,MTWIONPH1,30.0
REGION1,MTNGHPFH1,20.0
REGION1,MTBFCHPH1,35.0
REGION1,MTDSGCCH1,30.0
REGION1,MTDSGCPH1,25.0
REGION1,MTDSSTPH1,30.0
REGION1,NLBFHPFH1,25.0
REGION1,NLBMSTPH1,40.0
REGION1,NLCOCHPH1,25.0
REGION1,NLNGCCPH1,30.0
REGION1,NLNGCHPH1,25.0
REGION1,NLNUG2PH1,35.0
REGION1,NLSOUTPH1,30.0
REGION1,NLWIOFPH1,30.0
REGION1,NLWIONPH1,30.0
REGION1,NLWSCHPH1,35.0
REGION1,NLCOSTPH1,40.0
REGION1,NLBFCHPH1,35.0
REGION1,NLDGCHPH1,25.0
REGION1,NLDGELH1,30.0
REGION1,NLRGCHPH1,25.0
REGION1,NLRGELH1,30.0
REGION1,NLDSCHPH1,25.0
REGION1,NLDSELH1,30.0
REGION1,NLHFCHPH1,25.0
REGION1,NLBMCHPH1,35.0
REGION1,NLHYDRPH1,50.0
REGION1,PLCOCHPH1,25.0
REGION1,PLCOSTPH1,40.0
REGION1,PLLICHPH1,25.0
REGION1,PLLIELH1,40.0
REGION1,PLNGCCPH1,30.0
REGION1,PLNGCHPH1,25.0
REGION1,PLBFCHPH1,35.0
REGION1,PLDGCHPH1,25.0
REGION1,PLRGCHPH1,25.0
REGION1,PLDSCHPH1,25.0
REGION1,PLDSELH1,30.0
REGION1,PLHFCHPH1,25.0
REGION1,PLBMSTPH1,40.0
REGION1,PLBMCHPH1,35.0
REGION1,PLWIONPH1,30.0
REGION1,PLHYDMPH1,60.0
REGION1,PLHYDSPH1,50.0
REGION1,PLHYDRPH1,50.0
REGION1,PTBFHPFH1,25.0
REGION1,PTBMSTPH1,40.0
REGION1,PTGOCVPH1,30.0
REGION1,PTHFCHPH1,25.0
REGION1,PTHFSTPH1,30.0
REGION1,PTHYDMPH1,60.0
REGION1,PTHYDSPH1,50.0
REGION1,PTNGCCPH1,30.0
REGION1,PTNGCHPH1,25.0
REGION1,PTOCWVPH1,80.0
REGION1,PTSOUTPH1,30.0
REGION1,PTWIOFPH1,30.0
REGION1,PTWIONPH1,30.0
REGION1,PTWSCHPH1,35.0
REGION1,PTWSSTPH1,20.0
REGION1,PTCOSTPH1,40.0
REGION1,PTBFCHPH1,35.0
REGION1,PTRGCHPH1,25.0
REGION1,PTDSCHPH1,25.0
REGION1,PTDSELH1,30.0
REGION1,PTBMCHPH1,35.0
REGION1,PTHYDRPH1,50.0
REGION1,ROBMSTPH1,40.0
REGION1,ROCOCHPH1,25.0
REGION1,ROHFCHPH1,25.0
REGION1,ROHYDMPH1,60.0
REGION1,RONGCHPH1,25.0
REGION1,RONUG2PH1,35.0
REGION1,ROSOUTPH1,30.0
REGION1,ROWIONPH1,30.0
REGION1,ROLICHPH1,25.0
REGION1,ROLIELH1,40.0
REGION1,RONGCCPH1,30.0
REGION1,RODGCHPH1,25.0
REGION1,RODGELH1,30.0
REGION1,RORGCHPH1,25.0
REGION1,RODSCHPH1,25.0
REGION1,RODSELH1,30.0
REGION1,ROHFSTPH1,30.0
REGION1,ROBMCHPH1,35.0
REGION1,ROGOCVPH1,30.0
REGION1,ROHYDRPH1,50.0
REGION1,ROHYDSPH1,50.0
REGION1,SEBMCHPH1,35.0
REGION1,SECOCHPH1,25.0
REGION1,SEHFCHPH1,25.0
REGION1,SEHYDMPH1,60.0
REGION1,SEHYDSPH1,50.0
REGION1,SENGCCPH1,30.0
REGION1,SENGCHPH1,25.0
REGION1,SENUG2PH1,35.0
REGION1,SESOUTPH1,30.0
REGION1,SEWIOFPH1,30.0
REGION1,SEWIONPH1,30.0
REGION1,SEWSCHPH1,35.0
REGION1,SELICHPH1,25.0
REGION1,SEBFCHPH1,35.0
REGION1,SEDGCHPH1,25.0
REGION1,SEDSCHPH1,25.0
REGION1,SEDSELH1,30.0
REGION1,SEHFSTPH1,30.0
REGION1,SEHYDRPH1,50.0
REGION1,SIHFCHPH1,25.0
REGION1,SIHFSTPH1,30.0
REGION1,SIHYDMPH1,60.0
REGION1,SINGCHPH1,25.0
REGION1,SINUG2PH1,35.0
REGION1,SISOUTPH1,30.0
REGION1,SIWIONPH1,30.0
