REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
REGION1,BGDSCHPH1,BGDS,1,2021,2.32558
REGION1,BGDSELH1,BGDS,1,2021,1.754385964912281
REGION1,BGHFSTPH1,BGHF,1,2021,2.32558
REGION1,BGBMCHPH1,BGBM,1,2021,3.25808997632202
REGION1,BGBMSTPH1,BGBM,1,2021,2.884249847109964
REGION1,BGWSCHPH1,BGWS,1,2021,3.25808997632202
REGION1,CYBFCHPH1,CYBF,1,2021,3.25808997632202
REGION1,CYHFSTPH1,CYHF,1,2021,2.32558
REGION1,CYDSCCPH1,CYDS,1,2021,1.754385964912281
REGION1,CYDSGCPH1,CYDS,1,2021,2.857142857142857
REGION1,CYDSSTPH1,CYDS,1,2021,2.32558
REGION1,CYDSHPFH1,CYDS,1,2021,2.94118
REGION1,CYHFCHPH1,CYHF,1,2021,2.32558
REGION1,CZNUG2PH1,CZNU,1,2021,2.631578947368421
REGION1,CZCOCHPH1,CZCO,1,2021,2.43322
REGION1,CZCOSTPH1,CZCO,1,2021,2.654557624437142
REGION1,CZLICHPH1,CZLI,1,2021,2.43322
REGION1,CZLIELH1,CZLI,1,2021,2.702702702702703
REGION1,CZNGCCPH1,CZNG,1,2021,1.754385964912281
REGION1,CZNGCHPH1,CZNG,1,2021,1.68936
REGION1,CZBFHPFH1,CZBF,1,2021,2.662337662337662
REGION1,CZBFCHPH1,CZBF,1,2021,3.25808997632202
REGION1,CZDGCHPH1,CZDG,1,2021,1.68936
REGION1,CZRGCHPH1,CZRG,1,2021,1.68936
REGION1,CZDSCHPH1,CZDS,1,2021,2.32558
REGION1,CZDSGCPH1,CZDS,1,2021,2.857142857142857
REGION1,CZHFCHPH1,CZHF,1,2021,2.32558
REGION1,CZHFSTPH1,CZHF,1,2021,2.32558
REGION1,CZBMSTPH1,CZBM,1,2021,2.884249847109964
REGION1,CZBMCHPH1,CZBM,1,2021,3.25808997632202
REGION1,CZWSCHPH1,CZWS,1,2021,3.25808997632202
REGION1,DENUG2PH1,DENU,1,2021,2.631578947368421
REGION1,DECOCHPH1,DECO,1,2021,2.43322
REGION1,DECOSTPH1,DECO,1,2021,2.654557624437142
REGION1,DELICHPH1,DELI,1,2021,2.43322
REGION1,DELIELH1,DELI,1,2021,2.702702702702703
REGION1,DENGCCPH1,DENG,1,2021,1.754385964912281
REGION1,DENGCHPH1,DENG,1,2021,1.68936
REGION1,DEBFHPFH1,DEBF,1,2021,2.662337662337662
REGION1,DEBFCHPH1,DEBF,1,2021,3.25808997632202
REGION1,DEDGCHPH1,DEDG,1,2021,1.68936
REGION1,DEDGELH1,DEDG,1,2021,1.754385964912281
REGION1,DERGCHPH1,DERG,1,2021,1.68936
REGION1,DERGELH1,DERG,1,2021,1.754385964912281
REGION1,DEDSCHPH1,DEDS,1,2021,2.32558
REGION1,DEDSELH1,DEDS,1,2021,1.754385964912281
REGION1,DEHFCHPH1,DEHF,1,2021,2.32558
REGION1,DEHFSTPH1,DEHF,1,2021,2.32558
REGION1,DEBMCHPH1,DEBM,1,2021,3.25808997632202
REGION1,DEBMSTPH1,DEBM,1,2021,2.884249847109964
REGION1,DEWSCHPH1,DEWS,1,2021,3.25808997632202
REGION1,DEWSSTPH1,DEWS,1,2021,3.015762987012986
REGION1,DEGOCVPH1,DEGO,1,2021,10.0
REGION1,DKBFHPFH1,DKBF,1,2021,2.662337662337662
REGION1,DKBMSTPH1,DKBM,1,2021,2.884249847109964
REGION1,DKCOCHPH1,DKCO,1,2021,2.43322
REGION1,DKHFCHPH1,DKHF,1,2021,2.32558
REGION1,DKHFSTPH1,DKHF,1,2021,2.32558
REGION1,DKNGCCPH1,DKNG,1,2021,1.754385964912281
REGION1,DKNGCHPH1,DKNG,1,2021,1.68936
REGION1,DKWSCHPH1,DKWS,1,2021,3.25808997632202
REGION1,DKRGCHPH1,DKRG,1,2021,1.68936
REGION1,DKDSCHPH1,DKDS,1,2021,2.32558
REGION1,DKDSELH1,DKDS,1,2021,1.754385964912281
REGION1,DKBMCHPH1,DKBM,1,2021,3.25808997632202
REGION1,EEHFSTPH1,EEHF,1,2021,2.32558
REGION1,EENGCHPH1,EENG,1,2021,1.68936
REGION1,EENGHPFH1,EENG,1,2021,2.94118
REGION1,EEWSCHPH1,EEWS,1,2021,3.25808997632202
REGION1,EELICHPH1,EELI,1,2021,2.43322
REGION1,EELIELH1,EELI,1,2021,2.702702702702703
REGION1,EEBFCHPH1,EEBF,1,2021,3.25808997632202
REGION1,EEDGCHPH1,EEDG,1,2021,1.68936
REGION1,EEDGELH1,EEDG,1,2021,1.754385964912281
REGION1,EEBMCHPH1,EEBM,1,2021,3.25808997632202
REGION1,EEBMSTPH1,EEBM,1,2021,2.884249847109964
REGION1,GRBFHPFH1,GRBF,1,2021,2.662337662337662
REGION1,GRBMSTPH1,GRBM,1,2021,2.884249847109964
REGION1,GRHFCHPH1,GRHF,1,2021,2.32558
REGION1,GRHFSTPH1,GRHF,1,2021,2.32558
REGION1,GRNGCCPH1,GRNG,1,2021,1.754385964912281
REGION1,GRNGCHPH1,GRNG,1,2021,1.68936
REGION1,GRLICHPH1,GRLI,1,2021,2.43322
REGION1,GRLIELH1,GRLI,1,2021,2.702702702702703
REGION1,GRBFCHPH1,GRBF,1,2021,3.25808997632202
REGION1,GRRGCHPH1,GRRG,1,2021,1.68936
REGION1,GRDSCHPH1,GRDS,1,2021,2.32558
REGION1,GRDSELH1,GRDS,1,2021,1.754385964912281
REGION1,GRBMCHPH1,GRBM,1,2021,3.25808997632202
REGION1,ESCOCHPH1,ESCO,1,2021,2.43322
REGION1,ESCOSTPH1,ESCO,1,2021,2.654557624437142
REGION1,ESNUG2PH1,ESNU,1,2021,2.631578947368421
REGION1,ESLISTPH1,ESLI,1,2021,2.702702702702703
REGION1,ESNGCCPH1,ESNG,1,2021,1.754385964912281
REGION1,ESNGCHPH1,ESNG,1,2021,1.68936
REGION1,ESBFCHPH1,ESBF,1,2021,3.25808997632202
REGION1,ESBFSTPH1,ESBF,1,2021,2.662337662337662
REGION1,ESDGCHPH1,ESDG,1,2021,1.68936
REGION1,ESDGELH1,ESDG,1,2021,1.754385964912281
REGION1,ESRGCHPH1,ESRG,1,2021,1.68936
REGION1,ESRGELH1,ESRG,1,2021,1.754385964912281
REGION1,ESDSCHPH1,ESDS,1,2021,2.32558
REGION1,ESDSELH1,ESDS,1,2021,1.754385964912281
REGION1,ESHFCHPH1,ESHF,1,2021,2.32558
REGION1,ESHFSTPH1,ESHF,1,2021,2.32558
REGION1,ESBMCHPH1,ESBM,1,2021,3.25808997632202
REGION1,ESBMSTPH1,ESBM,1,2021,2.884249847109964
REGION1,ESWSCHPH1,ESWS,1,2021,3.25808997632202
REGION1,ESWSSTPH1,ESWS,1,2021,3.015762987012986
REGION1,FIBFHPFH1,FIBF,1,2021,2.662337662337662
REGION1,FIBMSTPH1,FIBM,1,2021,2.884249847109964
REGION1,FICOCHPH1,FICO,1,2021,2.43322
REGION1,FICOSTPH1,FICO,1,2021,2.654557624437142
REGION1,FIHFCHPH1,FIHF,1,2021,2.32558
REGION1,FIHFSTPH1,FIHF,1,2021,2.32558
REGION1,FINGCCPH1,FING,1,2021,1.754385964912281
REGION1,FINGCHPH1,FING,1,2021,1.68936
REGION1,FINUG2PH1,FINU,1,2021,2.631578947368421
REGION1,FIWSCHPH1,FIWS,1,2021,3.25808997632202
REGION1,FILICHPH1,FILI,1,2021,2.43322
REGION1,FILIELH1,FILI,1,2021,2.702702702702703
REGION1,FIBFCHPH1,FIBF,1,2021,3.25808997632202
REGION1,FIDGCHPH1,FIDG,1,2021,1.68936
REGION1,FIDGELH1,FIDG,1,2021,1.754385964912281
REGION1,FIRGCHPH1,FIRG,1,2021,1.68936
REGION1,FIRGELH1,FIRG,1,2021,1.754385964912281
REGION1,FIDSCHPH1,FIDS,1,2021,2.32558
REGION1,FIDSELH1,FIDS,1,2021,1.754385964912281
REGION1,FIBMCHPH1,FIBM,1,2021,3.25808997632202
REGION1,FRNUG2PH1,FRNU,1,2021,2.631578947368421
REGION1,FRCOCHPH1,FRCO,1,2021,2.43322
REGION1,FRCOSTPH1,FRCO,1,2021,2.654557624437142
REGION1,FRNGCCPH1,FRNG,1,2021,1.754385964912281
REGION1,FRNGCHPH1,FRNG,1,2021,1.68936
REGION1,FRBFHPFH1,FRBF,1,2021,2.662337662337662
REGION1,FRBFCHPH1,FRBF,1,2021,3.25808997632202
REGION1,FRDGELH1,FRDG,1,2021,1.754385964912281
REGION1,FRRGCHPH1,FRRG,1,2021,1.68936
REGION1,FRRGELH1,FRRG,1,2021,1.754385964912281
REGION1,FRDSCHPH1,FRDS,1,2021,2.32558
